ligand	receptor	score
Dkk2	Kremen2	1
Kng1	Sdc2	1
Gnai2	Adcy1	1
Adam15	Itgav	1
Fn1	Il17rc	1
Fgf13	Fgfr2	1
Tgfb1	Itgb6	1
C3	Itgam	1
Dlk1	Notch3	1
Lamb3	Itgb4	1
Fgg	Itgav	1
Wnt7b	Lrp5	1
Lama2	Itga6	1
Fgb	Itgam	1
Thbs1	Itga2b	1
Adam2	Itgb7	1
Fn1	Tshr	1
Rgmb	Bmpr2	1
Wnt2	Lrp6	1
Col2a1	Itga2b	1
Calm1	Egfr	1
Apoe	Ldlr	1
Col4a3	Itga2	1
Bmp4	Bmpr2	1
Sema4c	Plxnb2	1
Il1rn	Il1r1	1
Lama1	Tmprss6	1
Qdpr	Dysf	1
Prnd	Rpsa	1
Fn1	Itgb6	1
Calr	Scarf1	1
App	Ncstn	1
Lamb2	Rpsa	1
Calm1	Ppapdc2	1
Bmp5	Bmpr1a	1
Pdgfc	Pdgfrb	1
Csf2	Itga9	1
Igfbp4	Lrp6	1
Thbs2	Notch4	1
Sema4d	Plxnb2	1
Rspo3	Lrp6	1
Ctgf	Lrp6	1
Hsp90b1	Tlr2	1
Efna1	Epha2	1
Fga	Itgb2	1
Dcn	Met	1
Ptn	Sdc1	1
Agrn	Atp1a3	1
Inhbc	Acvr2a	1
Ptn	Ptprs	1
Has2	Cd44	1
Gnai2	Cav1	1
Kng1	Itgam	1
Serpinc1	Sdc2	1
Apoe	Lrp5	1
Apod	Lepr	1
Mdk	Ptprb	1
Gnai2	Adcy9	1
Mllt4	Ephb3	1
Hmgb1	Thbd	1
Col4a5	Cd47	1
Calm3	Egfr	1
Tgfb1	Cav1	1
Adam12	Sdc4	1
Tgm2	Itgb3	1
Rspo1	Lrp6	1
Fgf11	Fgfr2	1
C3	Lrp1	1
Slit2	Robo2	1
Fn1	Col13a1	1
Ccl3	Ccr1	1
Mdk	Gpc2	1
Lama1	Itga1	1
Il4	Il13ra1	1
Calm3	Ppapdc2	1
Col5a1	Itga1	1
Calr	Itga3	1
Fgf7	Fgfr3	1
Nrg1	Erbb4	1
F10	Itgam	1
Mmp9	Cd44	1
Icam1	Egfr	1
Hp	Itgb2	1
Fn1	Mag	1
Clcf1	Lifr	1
Hmgb1	Sdc1	1
Bmp5	Acvr2b	1
Calm1	Pde1b	1
Apoc3	Tlr2	1
Vcam1	Itgb7	1
Lamc1	Itga3	1
Calm1	Insr	1
Jag2	Notch3	1
Ebi3	Il6st	1
Il21	Il2rg	1
Fgf1	Cd44	1
Wnt4	Fzd2	1
Serping1	Lrp1	1
Mdk	Lrp2	1
Gnai2	F2r	1
Gnas	Htr6	1
Hbegf	Cd82	1
Col1a1	Flt4	1
Mllt4	Pvrl2	1
Apob	Itgam	1
Proc	Itgb2	1
Col5a2	Itga1	1
Fn1	Itga3	1
Col1a1	Ddr1	1
Mdk	Sdc1	1
Fbn1	Itga5	1
Gnai2	Unc5b	1
Tgfb3	Tgfbr1	1
Cxcl10	Sdc4	1
Chad	Itgb1	1
Icam4	Itgb1	1
Lrpap1	Lrp8	1
Lama5	Itgb1	1
Il10	Il10ra	1
Pdgfb	Pdgfrb	1
Col4a3	Cd47	1
Hsp90aa1	Egfr	1
Psen1	Notch4	1
Col4a4	Itgb1	1
App	Gpc1	1
Lama4	Itgb1	1
Fgf7	Fgfr1	1
Vwf	Itga2b	1
Calm3	Pde1b	1
Tgfb1	Sdc2	1
Adam2	Itgb1	1
Calm3	Insr	1
Fn1	Tnfrsf11b	1
Psen1	Notch1	1
Tgfb3	Tgfbr2	1
F13a1	Itgb1	1
Inhbc	Acvr2b	1
Wnt5a	Fzd6	1
Il27	Il27ra	1
Ahsg	Insr	1
Ptn	Sdc3	1
Lamc2	Itgb1	1
Lrpap1	Vldlr	1
Kng1	Plaur	1
Farp2	Plxna4	1
Serpinc1	Lrp1	1
Pdgfd	Pdgfrb	1
Gnai2	Igf1r	1
Dusp18	Itgb4	1
Csf2	Csf2rb	1
Gnai2	Adra2b	1
F10	F3	1
Fn1	Sdc2	1
Thbs1	Itgb1	1
Lamb1	Itga2	1
Gnai2	S1pr3	1
Col1a2	Cd36	1
Tg	Asgr1	1
Icam2	Itgal	1
Col2a1	Itgb1	1
Cdh1	Itgb7	1
Ccl7	Ccr5	1
Vegfa	Itgb1	1
Col6a1	Itga2	1
Fbln1	Itgb1	1
Lama1	Sdc4	1
Col1a1	Itga11	1
Hspg2	Itgb1	1
Plau	Itgb1	1
Lama2	Itgb4	1
Nid1	Itgb1	1
Lamb1	Itga7	1
Spp1	Cd44	1
Col3a1	Ddr2	1
Tgm2	Sdc4	1
L1cam	Erbb2	1
Mbl2	Cd93	1
Lrpap1	Lrp2	1
Tgfb2	Acvr1	1
Vtn	Itga5	1
Hbegf	Erbb4	1
Calm1	Pde1a	1
Prss23	Tmem222	1
Cyr61	Itgb2	1
Apob	Lsr	1
Dll1	Notch4	1
Tgfb1	Tgfbr3	1
Farp2	Plxna1	1
Adam15	Itga5	1
App	Cd74	1
Dll1	Notch1	1
Nrg1	Gpc1	1
Nlgn2	Nrxn3	1
Adcyap1	Vipr2	1
Fgg	Itga5	1
Selplg	Itgam	1
Psen1	Notch2	1
Mdk	Sdc3	1
Slit2	Gpc1	1
Ptma	Vipr1	1
Tnc	Itgb1	1
Sema7a	Itgb1	1
Calr	Lrp1	1
Vcam1	Itgb1	1
Kng1	Cd93	1
Calm3	Pde1a	1
Dcn	Erbb4	1
Pf4	Cxcr3	1
Hsp90b1	Tlr1	1
Fga	Itga2b	1
Plat	Itgb2	1
C3	C3ar1	1
Fgf14	Fgfr2	1
C3	Cd81	1
Adam17	Itga5	1
Col7a1	Itgb1	1
Ltb	Cd40	1
Vegfb	Ret	1
Lamb1	Itga6	1
Igf2	Igf1r	1
Hsp90b1	Tlr7	1
Pf4	Fgfr2	1
Psap	Sort1	1
Col6a1	Itga6	1
Lamb3	Itgb1	1
Fgb	Itgav	1
Col1a2	Itgb3	1
Fgf13	Scn8a	1
Sftpd	Ly96	1
Rarres2	Ccrl2	1
Selplg	Sell	1
Cxcl10	Cxcr3	1
Npnt	Itgb1	1
Spp1	Itgb1	1
Dll1	Notch2	1
Col1a2	Itga1	1
Adam9	Itga6	1
Lta	Ednra	1
Arf1	Insr	1
Gnai2	C5ar1	1
Il4	Cd53	1
Icam2	Itgb2	1
Gnai2	Ptpru	1
Apoe	Sorl1	1
Fn1	Itga8	1
Tgm2	Itga4	1
Figf	Itgb1	1
Fn1	Tmprss6	1
Dusp18	Rpsa	1
Dlk1	Notch4	1
Fn1	Plaur	1
Dlk1	Notch1	1
Thbs2	Itga4	1
Sema4d	Met	1
Lta	Tnfrsf1b	1
Il2	Cd53	1
Lama2	Rpsa	1
Fn1	Itgb3	1
L1cam	Egfr	1
Fn1	C5ar1	1
Col1a2	Cd93	1
Cthrc1	Fzd5	1
Il10	Il10rb	1
Lamc1	Itga1	1
Gdf2	Acvr1	1
Calm1	Calcr	1
Mdk	Lrp1	1
Il7	Il2rg	1
L1cam	Itgav	1
B2m	Klrd1	1
Gnai2	S1pr4	1
Adcyap1	Vipr1	1
Col1a1	Cd36	1
Azgp1	Itgav	1
Fgf13	Fgfr3	1
Col18a1	Gpc1	1
Ebi3	Il27ra	1
Plg	Itga9	1
Vcan	Cd44	1
Cxcl12	Itgb1	1
Col4a1	Itgb1	1
Col6a2	Itgb1	1
Pip	Nptn	1
Angpt1	Itga5	1
Fga	Itgb1	1
Ly86	Cd180	1
Dlk1	Notch2	1
Adam15	Itga9	1
Col1a2	Itgav	1
Jag2	Notch4	1
Dusp18	Itgb1	1
Itgb3bp	Itgb3	1
Gnai2	Egfr	1
Mllt4	Pvrl1	1
Jag2	Notch1	1
Lamb1	Itgb4	1
Vegfc	Itga9	1
Lrpap1	Lrp1	1
Tnf	Tnfrsf1b	1
Calr	Itgav	1
Lama2	Itgb1	1
Fgf13	Fgfr1	1
Fgf11	Fgfr3	1
Bdnf	Ngfrap1	1
Col1a1	Tmprss6	1
Col6a3	Itgb1	1
Calm1	Kcnq1	1
Il18	Il18rap	1
Vtn	Cd47	1
Col11a1	Itga2	1
Tgfb1	Itgav	1
Bmp4	Acvr1	1
Mllt4	F11r	1
Lamc1	Itgav	1
Col4a5	Itgb1	1
Ptn	Plxnb2	1
Mllt4	Nrxn3	1
Itgb3bp	Itgb5	1
Ltb	Tnfrsf1a	1
Icam1	Itgal	1
Fgb	Itga5	1
Ccl4	Ccr5	1
Efna1	Epha3	1
Fn1	Itgav	1
Tgm2	Tbxa2r	1
Adam12	Itga9	1
Serping1	Selp	1
Calm3	Kcnq1	1
Col1a1	Itga1	1
Gnas	Adcy7	1
Wnt5a	Fzd7	1
Plg	Itgb2	1
Vcan	Itgb1	1
Fgf11	Fgfr1	1
Csf2	Itgb1	1
Hbegf	Cd44	1
Efna1	Ephb6	1
Mllt4	Ephb6	1
Cd14	Itgb1	1
Jag2	Notch2	1
Vtn	Pvr	1
Efna1	Epha4	1
Adam17	Erbb4	1
L1cam	Fgfr2	1
Fgg	Itgb2	1
Gnai2	Ednra	1
Gnas	Adora1	1
Col1a1	Cd93	1
Il18	Cd48	1
Lama1	Itga2	1
Col4a3	Itgb1	1
Mdk	Sdc4	1
Wnt5a	Ror2	1
Hgf	Met	1
Lama1	Itga7	1
Col3a1	Itga2	1
Wnt5a	Ryk	1
L1cam	Itga5	1
Mbl2	Calcr	1
Gnai2	Cxcr3	1
Gdf2	Acvrl1	1
Il16	Ccr5	1
Fn1	Itga4	1
Col1a1	Ddr2	1
Calm1	Kcnn4	1
F2	Itga2b	1
Wnt5a	Fzd8	1
Col1a1	Itgav	1
Pf4	Ldlr	1
Igf2	Insr	1
Tgm2	Itga9	1
Icam1	Itgb2	1
Calm1	Htr2c	1
Tgfb2	Tgfbr1	1
B2m	Hfe	1
Icam1	Il2rg	1
Fgf14	Fgfr3	1
Lama1	Itga6	1
L1cam	Erbb3	1
Ecm1	Cachd1	1
Lta	Cachd1	1
Tgfb2	Tgfbr2	1
Ccl3	Ccr4	1
Tnf	Traf2	1
Gdf2	Acvr2a	1
Col18a1	Itgb1	1
Lta	Tnfrsf1a	1
Selplg	Selp	1
Gnai2	P2ry12	1
Thbs2	Itga6	1
Lgals3bp	Itgb1	1
Mdk	Itga4	1
Wnt5a	Fzd2	1
Lin7c	Htr2c	1
Thbs2	Cd47	1
Fgf14	Fgfr1	1
Apob	Calcr	1
Lamb1	Itgb1	1
Tnf	Tnfrsf21	1
Fn1	Itga5	1
Hsp90aa1	Fgfr3	1
Nlgn3	Nrxn3	1
Col6a1	Itgb1	1
Wnt5a	Lrp5	1
Vtn	Itga2b	1
Serping1	Sele	1
Mllt4	Pvrl4	1
Lama1	Nt5e	1
Dkk2	Lrp6	1
Lrpap1	Sort1	1
Fgg	Itga2b	1
Gnai2	Tbxa2r	1
Adam9	Itgb1	1
Cd55	Cd97	1
Vim	Cd44	1
Il15	Il15ra	1
Igf2	Igf2r	1
Gdf2	Acvr2b	1
Tnf	Tnfrsf1a	1
Sema4d	Cd72	1
Bmp4	Acvr2a	1
Col1a2	Itga2	1
Tgfb1	Acvrl1	1
Pdgfa	Pdgfra	1
C3	Itgb2	1
Fgb	Itgb2	1
Fbn1	Itgb1	1
Lama1	Gpc1	1
Il15	Il2rg	1
Calm1	Ptpra	1
Lama1	Itgb4	1
Bmp4	Bmpr1a	1
Psen1	Ncstn	1
Arf1	Pld2	1
Mllt4	Pvrl3	1
Lamc1	Itga2	1
Col1a1	Itga5	1
Kng1	Itgb2	1
Ptdss1	Scarb1	1
Lpl	Cd44	1
Gnai2	S1pr5	1
Lamc1	Itga7	1
Fn1	Itga2	1
Gnai2	S1pr1	1
Orm1	Ccr5	1
F10	Itgb2	1
Plg	Itgb1	1
Wnt5a	Fzd5	1
Pdap1	Pdgfrb	1
Vtn	Itgb1	1
Bmp4	Acvr2b	1
Tgfb1	Cxcr4	1
Adam15	Itgb1	1
Selplg	Sele	1
Fgg	Itgb1	1
Hgf	St14	1
Apob	Ldlr	1
Vegfc	Itgb1	1
Gnai2	Ccr5	1
Apob	Itgb2	1
Fn1	Itga9	1
Lamc1	Itga6	1
Adam17	Itgb1	1
Fn1	Itga6	1
Adam12	Itgb1	1
Tgfb1	Tgfbr1	1
Ccl3	Ccr5	1
Ltb	Ltbr	1
Lama1	Rpsa	1
Col1a1	Itga2	1
Serpinc1	Gpc1	1
Tgfb1	Tgfbr2	1
Col11a1	Itgb1	1
Fgb	Itga2b	1
Col14a1	Cd44	1
Mdk	Itga6	1
Selplg	Itgb2	1
Reln	Itgb1	1
Fn1	Nt5e	1
Tnfsf14	Ltbr	1
Hgf	Cd44	1
Lama1	Itgb1	1
Col5a1	Itgb1	1
Angpt1	Itgb1	1
Lamc1	Itgb4	1
Tgm2	Itgb1	1
Gnai2	Adcy7	1
Col3a1	Itgb1	1
Psen1	Cd44	1
Thbs2	Itgb1	1
Gnai2	Adora1	1
Col5a2	Itgb1	1
Col1a2	Itga2b	1
Apob	Lrp6	1
Timp2	Itgb1	1
Lta	Ltbr	1
Fgb	Itgb1	1
Lrpap1	Ldlr	1
Pdgfa	Pdgfrb	1
Calr	Itga2b	1
Col1a2	Cd44	1
Fn1	Itga2b	1
Ptdss1	Jmjd6	1
Fn1	Itgb7	1
Tnf	Ltbr	1
Fn1	Cd44	1
Col1a2	Itgb1	1
Lamc1	Itgb1	1
Fn1	Itgb1	1
Col1a1	Cd44	1
Mdk	Itgb1	1
Lrpap1	Sorl1	1
Col1a1	Itgb1	1
