DC1---DC1	p-value: 0.79143
VLDLR---TFPI	0.000619
HSPG2---ITGB1	0.000613
CD74---APP	0.000610
RPSA---LAMA1	0.000602
HMGB1---THBD	0.000598
EGFR---ANXA1	0.000591
HLA-B---CANX	0.000581
VLDLR---APOE	0.000559
CD44---FN1	0.000549
ADAM12---SDC4	0.000532
COL1A1---CD44	0.000525
ITGB1---COL6A2	0.000524
CD14---ITGB1	0.000515
VIM---CD44	0.000501
FN1---ITGAV	0.000499
APOE---LRP1	0.000491
SDC4---ADAM12	0.000488
CAV1---APP	0.000487
CD44---VIM	0.000482
TRAF2---GSTP1	0.000438
LRP1---CALR	0.000437
LAMA1---RPSA	0.000434
SCARB1---APOE	0.000434
IGF1R---IGF2	0.000409
ITGA5---CTGF	0.000407
ITGB2---CYR61	0.000388
APLP2---HLA-A	0.000384
GSTP1---TRAF2	0.000374
LAMB2---RPSA	0.000342
RPSA---LAMA2	0.000336
ITGB6---FN1	0.000336
IGF2R---IGF2	0.000322
PGF---NRP2	0.000305
HLA-A---APLP2	0.000294
CAV1---GNAI2	0.000292
FN1---SDC2	0.000283
CTGF---ITGA5	0.000278
TYROBP---CD47	0.000277
ITGB1---F13A1	0.000267
IGF2---IGF1R	0.000266
HSP90AA1---FGFR3	0.000262
GNAI2---CAV1	0.000257
CD36---COL1A1	0.000251
APOE---LDLR	0.000242
CTGF---ITGB2	0.000242
RPSA---LAMB2	0.000239
ITGB1---ADAM15	0.000233
FLT1---PIGF	0.000233
ITGA5---ADAM15	0.000230
APOE---VLDLR	0.000221
IGF2---IGF2R	0.000209
SPP1---ITGA4	0.000204
ANXA1---FPR3	0.000202
ITGA4---SPP1	0.000200
FN1---ITGB5	0.000198
COL1A2---CD44	0.000198
ITGA2---FN1	0.000196
NRP2---PGF	0.000168
CALR---ITGAV	0.000168
NRP1---PGF	0.000167
ITGAV---FN1	0.000165
ITGB2---CTGF	0.000163
S1PR1---SPP1	0.000159
HLA-G---LILRB2	0.000158
FGFR3---HSP90AA1	0.000157
ERBB2---HLA-A	0.000155
DCN---EGFR	0.000154
SDC1---PTN	0.000151
LAMA2---RPSA	0.000148
ITGA1---COL1A1	0.000144
CD36---COL1A2	0.000142
PLAUR---MMP12	0.000141
PSAP---LRP1	0.000140
MMP12---PLAUR	0.000139
ADAM15---ITGB1	0.000137
CCL18---C14orf1	0.000132
COL3A1---ITGA1	0.000131
ITGA1---COL3A1	0.000128
HRAS---CAV1	0.000125
ALB---B2M	0.000123
PTMA---VIPR1	0.000122
LRP1---SERPINE2	0.000120
F13A1---ITGB1	0.000119
INSR---ARF1	0.000116
TGFB1---ACVRL1	0.000116
SPP1---S1PR1	0.000115
PIGF---FLT1	0.000114
CD44---COL1A1	0.000113
PGF---NRP1	0.000112
ITGB1---HSPG2	0.000112
COL1A1---DDR1	0.000102
FPR3---ANXA1	0.000101
COL1A1---ITGA1	0.000099
EBI3---IL6ST	0.000098
VIPR1---PTMA	0.000091
SERPINE2---LRP1	0.000090
LRP1---PSAP	0.000090
COL6A1---ITGB1	0.000089
NT5E---FN1	0.000079
SORL1---APOE	0.000076
FN1---MAG	0.000075
ITGA9---SPP1	0.000075
CAV1---HRAS	0.000075
VCAN---ITGB1	0.000075
SPP1---ITGA9	0.000074
TNFRSF1A---GRN	0.000073
ANXA1---FPR1	0.000072
ITGB1---COL6A1	0.000071
PLAUR---ITGB1	0.000069
FN1---ITGB7	0.000068
TGM2---ITGB1	0.000067
TGFB1---EGFR	0.000067
CD81---GPC3	0.000063
CCL18---CCR1	0.000063
DDR1---COL1A1	0.000062
GRN---TNFRSF1A	0.000060
EGFR---DCN	0.000060
COL3A1---DDR1	0.000059
ITGA2---COL1A1	0.000058
HLA-A---ERBB2	0.000058
CCL3---CCR1	0.000057
ITGB5---FN1	0.000054
ITGB1---TGM2	0.000054
ITGA2---COL3A1	0.000053
LRP8---APOE	0.000053
FN1---NT5E	0.000050
DDR1---COL3A1	0.000048
SDC1---MDK	0.000048
COL9A3---ITGB1	0.000047
ADM---RAMP2	0.000043
CCL3---ACKR2	0.000040
ACKR2---CCL3	0.000039
GPC1---APP	0.000037
CD44---COL1A2	0.000036
SDC4---MDK	0.000036
ITGB1---PLAUR	0.000035
LRP1---C1QB	0.000033
CCR1---CCL3	0.000033
MET---DCN	0.000032
COL5A1---ITGB1	0.000032
COL1A2---ITGA1	0.000032
TGFB1---ITGB6	0.000031
ITGB1---VCAN	0.000029
APOE---SORL1	0.000028
DPP4---NPPB	0.000027
COL6A2---ITGA1	0.000027
IDE---IGF2	0.000027
SPP1---ITGB3	0.000027
PTN---SDC1	0.000027
JAM3---ITGB2	0.000026
EGFR---EFEMP1	0.000026
NOTCH3---DLK1	0.000025
SEMA7A---ITGB1	0.000024
DLK1---NOTCH2	0.000024
FN1---ITGA9	0.000024
EGFR---TGFB1	0.000024
CD44---MMP9	0.000023
IL6ST---EBI3	0.000023
FN1---ITGA2	0.000023
ITGB5---CYR61	0.000022
BCAM---LAMA5	0.000022
DCN---MET	0.000022
C1QB---LRP1	0.000022
MAG---FN1	0.000021
TYROBP---SEMA6D	0.000021
ARF1---INSR	0.000021
MDK---SDC4	0.000020
FN1---TNFRSF11B	0.000020
ITGA1---COL1A2	0.000020
ITGB1---COL5A1	0.000020
KDR---PGF	0.000020
IGF2---IDE	0.000020
HGF---SDC1	0.000020
COL3A1---MAG	0.000019
ITGB1---TIMP2	0.000019
SDC1---HGF	0.000018
ITGA2---COL4A1	0.000018
ITGAV---CYR61	0.000018
FN1---ITGA2B	0.000018
NOTCH2---DLK1	0.000018
DLK1---NOTCH1	0.000018
LRP2---APOE	0.000017
BDNF---NGFRAP1	0.000017
CCL4---ACKR2	0.000017
SDC4---TGM2	0.000017
MMP2---ITGAV	0.000017
COL3A1---DDR2	0.000016
THY1---ITGB2	0.000016
DYSF---ANXA1	0.000016
PLAUR---VTN	0.000016
FN1---ITGA4	0.000016
ITGB1---COL21A1	0.000016
ITGAV---CALR	0.000015
F11R---ITGB2	0.000015
SDC2---FN1	0.000015
NGFRAP1---BDNF	0.000015
ITGA5---VTN	0.000015
ADAM15---ITGA5	0.000015
LRP5---APOE	0.000015
CYR61---ITGAV	0.000013
TNFRSF11B---FN1	0.000013
EFEMP1---EGFR	0.000013
ANXA1---DYSF	0.000013
EPO---EPHB4	0.000013
DDR2---COL3A1	0.000012
TGFB1---ITGAV	0.000012
CD93---COL1A1	0.000012
PSAP---GPR37	0.000012
APOE---LRP8	0.000012
MDK---SDC1	0.000012
ITGA4---FN1	0.000012
VCAN---CD44	0.000011
SEMA6D---TYROBP	0.000011
FPR1---ANXA1	0.000011
CCR1---CCL13	0.000011
ITGB6---TGFB1	0.000011
FLT1---VEGFB	0.000011
ITGA2---COL1A2	0.000011
PLTP---ABCA1	0.000011
VTN---ITGB1	0.000010
RAMP2---ADM	0.000010
NPR1---NPPB	0.000010
GPC3---CD81	0.000009
TGM2---SDC4	0.000009
ITGB1---VTN	0.000009
APOE---SCARB1	0.000009
DLK1---NOTCH3	0.000009
VEGFB---FLT1	0.000009
ACKR2---CCL13	0.000009
COL4A1---ITGA1	0.000009
COL4A2---ITGA1	0.000008
ITGB1---COL9A3	0.000008
COL1A1---ITGA2	0.000008
VCAN---EGFR	0.000008
COL6A3---ITGB1	0.000008
CD93---COL1A2	0.000008
GPR37---PSAP	0.000008
ITGA5---FBN1	0.000008
COL4A1---ITGAV	0.000008
ITGB1---COL6A3	0.000008
COL6A1---ITGA1	0.000008
INHA---TGFBR3	0.000007
ABCA1---PLTP	0.000007
HGF---CD44	0.000007
NTF4---NGFRAP1	0.000007
CCL4---CCR1	0.000007
CDH1---PTPRF	0.000007
CTGF---LRP1	0.000007
FLT1---VEGFA	0.000007
ITGAV---TGFB1	0.000007
APP---GPC1	0.000007
SERPINE1---LRP1	0.000007
FN1---ITGB8	0.000007
COL5A2---ITGB1	0.000007
DPP4---CXCL2	0.000007
ITGB1---FBN1	0.000006
COL21A1---ITGB1	0.000006
NOTCH1---DLK1	0.000006
ITGAV---VTN	0.000006
LRP1---LRPAP1	0.000006
FN1---ITGA10	0.000006
FN1---TMPRSS6	0.000006
ITGB1---SEMA7A	0.000006
MMP7---CD151	0.000005
ITGB3---SPP1	0.000005
CYR61---ITGB5	0.000005
COL1A1---ITGA10	0.000005
IDE---CCL3	0.000004
COL1A1---CD93	0.000004
MAG---COL3A1	0.000004
MMP2---SDC2	0.000004
CCL13---ACKR2	0.000003
ITGA3---FN1	0.000003
ITGB2---F11R	0.000003
CCL3L3---CCR1	0.000003
LRP1---MMP9	0.000002
TIMP2---ITGB1	0.000002
LILRB1---HLA-G	0.000002
S100A9---TLR4	0.000002
CSH1---PRLR	0.000001

EVT_p---DC1	q-value: 0.0010619

Ligand---Receptor	contribution
CD63---TIMP1	0.319498
SPP1---ITGB1	0.042476
TIMP1---CD63	0.037202
EGFR---DCN	0.023052
APLP2---HLA-A	0.020915
CANX---HLA-B	0.018122
FN1---SDC2	0.017556
SPP1---CD44	0.016864
FN1---ITGB1	0.016511
FN1---PLAUR	0.014401
VIM---CD44	0.012725
FN1---CD44	0.011725
RPS19---C5AR1	0.008964
APP---CD74	0.008059
COL1A1---CD44	0.007146
CD44---VIM	0.006562
ITGB1---TGM2	0.006543
FN1---ITGB8	0.006318
ERBB2---HLA-A	0.005589
ALB---B2M	0.004856
CSH1---PRLR	0.004593
COL1A2---CD44	0.003834
COL1A1---ITGB1	0.003693
HLA-G---KLRC1	0.003668
HSP90AA1---EGFR	0.003667
IGF2---INSR	0.003438
FAM3C---CLEC2D	0.003405
COL3A1---ITGB1	0.003354
MET---DCN	0.003303
ITGB1---FBLN1	0.003007
ACKR2---CCL4	0.002853
COL1A1---ITGA1	0.002730
MMP2---SDC2	0.002605
ACKR2---CCL3	0.002416
MMP12---PLAUR	0.002354
HLA-B---CANX	0.002265
ANXA1---EGFR	0.002261
COL1A2---ITGB1	0.001993
COL3A1---ITGA1	0.001966
CAV1---PTGS2	0.001876
DPP4---CXCL2	0.001805
SPP1---ITGAV	0.001800
TRAF2---GSTP1	0.001752
LDLR---APOE	0.001737
IL1RAP---IL1B	0.001585
VLDLR---APOE	0.001436
PRLR---PRL	0.001408
SDC4---MDK	0.001360
FN1---ITGB7	0.001360
LRP1---APOE	0.001348
IL1RN---IL1R2	0.001268
IL1R2---IL1B	0.001266
COL1A2---ITGA1	0.001231
VCAN---CD44	0.001170
APOE---SORL1	0.001126
CD14---ITGB1	0.001099
RAMP2---ADM	0.001077
SDC4---TGM2	0.001020
SCARB1---APOE	0.001016
DCN---EGFR	0.000948
FBLN1---ITGB1	0.000915
ITGB2---THY1	0.000915
HLA-G---KLRD1	0.000815
ACKR2---CCL3L3	0.000764
COL6A2---ITGB1	0.000752
FN1---ITGA4	0.000680
HGF---CD44	0.000653
EGFR---ANXA1	0.000653
THBD---HMGB1	0.000653
CCR1---CCL3	0.000613
ANXA1---FPR3	0.000580
COL4A1---ITGB1	0.000554
APOE---SCARB1	0.000552
SPP1---ITGA5	0.000544
CAV1---GNAI2	0.000542
LGALS3BP---ITGB1	0.000508
CD47---TYROBP	0.000486
ADAM12---ITGB1	0.000464
ITGB1---PLAUR	0.000449
LRP5---APOE	0.000442
SDC2---FN1	0.000422
CYR61---ITGAM	0.000411
ITGB1---TIMP2	0.000390
LILRB1---HLA-B	0.000389
IL1RN---IL1R1	0.000356
CYR61---ITGAV	0.000336
ANXA1---FPR1	0.000327
PLA2G2A---ITGB1	0.000325
HLA-E---KLRC1	0.000324
ITGA5---FN1	0.000319
HGF---SDC2	0.000319
CYR61---ITGB2	0.000319
CALR---ITGAV	0.000319
ITGB1---FN1	0.000318
COL1A1---CD93	0.000318
CD44---SPP1	0.000316
PGF---NRP2	0.000306
ERBB4---DCN	0.000296
F13A1---ITGB1	0.000287
CTGF---ITGB2	0.000284
CD44---VCAN	0.000281
FN1---ITGB5	0.000263
FPR1---ANXA1	0.000261
VCAN---ITGB1	0.000244
CTGF---ITGAM	0.000238
HLA-A---APLP2	0.000226
LRP1---PSAP	0.000224
TGFB1---SDC2	0.000219
SDC2---MMP2	0.000206
FN1---ITGA5	0.000195
IGF2---IGF2R	0.000176
IGF2---IDE	0.000176
ITGB1---SPP1	0.000167
COL4A1---ITGA1	0.000162
ACKR2---CCL2	0.000157
VCAN---EGFR	0.000149
LRP5---DKK1	0.000130
RPSA---LAMA2	0.000106
COL4A2---ITGB1	0.000101
TNFRSF1A---GRN	0.000101
CCR1---CCL3L3	0.000054

EVT_p---DC2	q-value: 0.79143

Ligand---Receptor	contribution
APLP2---HLA-A	0.092272
APP---CD74	0.083045
SEMA6D---TYROBP	0.078431
RPS19---C5AR1	0.066897
ANXA1---FPR2	0.050750
APP---LRP1	0.041522
EGFR---VCAN	0.040369
ITGB1---VCAN	0.040369
EGFR---ANXA1	0.034602
CD63---TIMP1	0.031142

EVT_p---EVT	q-value: 0

Ligand---Receptor	contribution
TIMP1---CD63	0.049406
SPP1---ITGB1	0.048715
FLT1---PGF	0.042515
FN1---ITGB1	0.039850
PGF---FLT1	0.037629
ITGB1---FN1	0.037345
SPP1---ITGA5	0.037236
ITGB1---SPP1	0.032471
FN1---ITGA5	0.029597
ITGA5---FN1	0.027440
CD63---TIMP1	0.025043
ITGA5---SPP1	0.022668
ITGB1---COL4A1	0.012603
COL4A1---ITGB1	0.009355
FBLN1---ITGB1	0.007940
ITGA5---CYR61	0.007389
COL1A1---ITGB1	0.007111
ITGB1---COL4A2	0.006689
COL3A1---ITGB1	0.006218
CYR61---ITGA5	0.006061
ITGB1---FBLN1	0.005769
COL1A1---ITGA5	0.005394
COL4A2---ITGB1	0.004946
SPP1---CD44	0.004723
IGF2---INSR	0.004383
ITGB1---COL1A1	0.003797
COL1A2---ITGB1	0.003703
CD44---SPP1	0.003619
COL6A2---ITGB1	0.003352
ADAM12---ITGB1	0.003146
ITGB1---COL3A1	0.002966
ITGB1---ADAM12	0.002774
ITGA5---COL1A1	0.002736
INSR---IGF2	0.002547
FN1---PLAUR	0.002451
SPP1---ITGAV	0.002411
ITGAV---SPP1	0.002372
RPS19---C5AR1	0.002269
PLAUR---FN1	0.002075
ITGB1---COL1A2	0.001693
HLA-B---CANX	0.001678
FN1---CD44	0.001608
CD44---FN1	0.001550
PLA2G2A---ITGB1	0.001355
TFPI---LRP1	0.001345
CD14---ITGB1	0.001319
COL1A1---CD36	0.001314
ITGB1---LGALS3BP	0.001290
RAMP2---ADM	0.001098
SDC2---FN1	0.001086
CTGF---ITGA5	0.001080
EGFR---HSP90AA1	0.001052
LRP1---TFPI	0.001052
APP---CD74	0.000992
HSP90AA1---EGFR	0.000974
LAMB2---RPSA	0.000915
COL6A1---ITGB1	0.000851
CD36---COL1A1	0.000849
B2M---ALB	0.000849
PLA2G2A---ITGA5	0.000838
HMGB1---SDC1	0.000836
LAMA2---RPSA	0.000826
EGFR---ANXA1	0.000803
CYR61---ITGB2	0.000765
C5AR1---RPS19	0.000747
ALB---B2M	0.000709
ITGB1---CD14	0.000686
LRP1---APOE	0.000678
ITGAV---FN1	0.000676
LGALS3BP---ITGB1	0.000669
NRP2---PGF	0.000661
THBD---HMGB1	0.000652
FN1---ITGB6	0.000641
COL1A2---CD36	0.000631
HMGB1---THBD	0.000631
SDC1---HMGB1	0.000622
TFPI---VLDLR	0.000615
CD44---VIM	0.000609
VIM---CD44	0.000599
VLDLR---TFPI	0.000584
CANX---HLA-B	0.000570
ADAM12---SDC4	0.000553
ITGB1---COL6A2	0.000538
COL1A1---CD44	0.000522
CALR---LRP1	0.000518
TGM2---ITGB1	0.000517
ANXA1---EGFR	0.000507
TGFB1---ENG	0.000491
APLP2---HLA-A	0.000471
ITGAV---CALR	0.000468
HLA-A---APLP2	0.000467
CAV1---APP	0.000457
ENG---TGFB1	0.000450
FN1---ITGAV	0.000443
IGF2---IGF2R	0.000429
LDLR---APOE	0.000424
NRP1---PGF	0.000421
VCAN---ITGB1	0.000414
F13A1---ITGB1	0.000402
CD36---COL1A2	0.000401
SDC4---ADAM12	0.000397
IGF1R---IGF2	0.000388
IGF2---IGF1R	0.000388
HSPG2---ITGB1	0.000374
LRP1---CALR	0.000360
ITGB1---HSPG2	0.000355
APP---CAV1	0.000348
ITGB2---CYR61	0.000341
TRAF2---GSTP1	0.000341
ITGA5---CTGF	0.000340
CD47---TYROBP	0.000312
RPSA---LAMA1	0.000309
APOE---LRP1	0.000300
VLDLR---APOE	0.000297
MMP12---PLAUR	0.000295
CD44---COL1A1	0.000294
DCN---EGFR	0.000294
SPP1---ITGA4	0.000273
GSTP1---TRAF2	0.000269
CTGF---ITGB2	0.000267
TYROBP---CD47	0.000252
SERPINE2---LRP1	0.000232
COL1A2---CD44	0.000221
ITGB1---F13A1	0.000201
CAV1---GNAI2	0.000198
PRND---RPSA	0.000197
COL1A1---ITGA1	0.000195
FN1---SDC2	0.000192
GNAI2---CAV1	0.000191
COL3A1---ITGA1	0.000187
APOE---LDLR	0.000184
KDR---PGF	0.000180
ITGB6---FN1	0.000176
FGFR3---HSP90AA1	0.000175
CD74---APP	0.000175
PGF---NRP2	0.000171
S1PR1---SPP1	0.000162
ITGA1---COL1A1	0.000159
ITGB5---FN1	0.000158
FN1---ITGB5	0.000158
ITGA1---COL3A1	0.000148
ITGB1---ADAM15	0.000146
HSP90AA1---FGFR3	0.000146
SCARB1---APOE	0.000144
APOE---VLDLR	0.000133
HRAS---CAV1	0.000130
MDK---SDC4	0.000128
RPSA---LAMA2	0.000125
PLAUR---MMP12	0.000124
ITGA4---SPP1	0.000114
IGF2R---IGF2	0.000111
FN1---ITGA2	0.000111
CD44---COL1A2	0.000110
ITGA5---ADAM15	0.000110
SPP1---S1PR1	0.000101
ITGAV---CYR61	0.000100
RPSA---LAMB2	0.000096
PGF---NRP1	0.000096
ADAM15---ITGB1	0.000089
PIGF---FLT1	0.000088
SDC2---MMP2	0.000085
ITGB1---COL6A1	0.000084
ANXA1---FPR3	0.000081
PTMA---VIPR1	0.000081
FLT1---PIGF	0.000081
ITGA9---SPP1	0.000080
IDE---IGF2	0.000080
LRP1---PSAP	0.000079
FN1---NT5E	0.000078
LAMA1---RPSA	0.000078
IL1RN---IL1RAP	0.000078
TGM2---SDC4	0.000077
DCN---MET	0.000076
HLA-G---LILRB2	0.000073
IL6ST---EBI3	0.000073
FN1---MAG	0.000073
COL1A1---DDR1	0.000072
FBN1---ITGB1	0.000070
PLAUR---ITGB1	0.000069
APOE---SCARB1	0.000068
TIMP2---ITGB1	0.000064
ITGB2---CTGF	0.000061
ERBB2---HLA-A	0.000057
DDR2---COL3A1	0.000057
FN1---ITGB7	0.000057
IL1RN---IL1R1	0.000056
CCL3---ACKR2	0.000056
HLA-A---ERBB2	0.000055
ADAM15---ITGA5	0.000054
CAV1---HRAS	0.000054
TNFRSF1A---GRN	0.000054
COL1A2---ITGA1	0.000054
CALR---ITGAV	0.000052
PTN---SDC1	0.000052
C14orf1---CCL18	0.000051
PTPRS---PTN	0.000051
SPP1---ITGA9	0.000050
ITGB1---TGM2	0.000050
LRP5---APOE	0.000050
CCL3---CCR1	0.000049
ITGB1---VCAN	0.000047
ITGB1---PLAUR	0.000047
CCR1---CCL3	0.000046
DDR2---COL1A1	0.000046
COL3A1---DDR1	0.000046
EFEMP1---EGFR	0.000044
ITGB8---FN1	0.000043
TGFB1---ACVRL1	0.000043
COL1A1---ITGA2	0.000042
LRP1---SERPINE2	0.000040
DYSF---ANXA1	0.000040
SDC4---MDK	0.000040
CSH1---PRLR	0.000039
ARF1---INSR	0.000038
FBN1---ITGA5	0.000037
FPR1---ANXA1	0.000037
DDR1---COL1A1	0.000036
COL18A1---ITGB1	0.000036
SPP1---ITGB3	0.000035
CTGF---LRP1	0.000035
CCL4---CCR1	0.000035
EGFR---EFEMP1	0.000035
CCR1---CCL18	0.000034
COL3A1---ITGA2	0.000033
ITGB1---COL5A1	0.000033
IL1RN---IL1R2	0.000032
TGFB1---EGFR	0.000030
NT5E---FN1	0.000030
GPC3---CD81	0.000030
SDC2---TGFB1	0.000029
COL6A2---ITGA1	0.000028
ANXA1---FPR1	0.000028
CD93---COL1A1	0.000028
VCAN---EGFR	0.000028
MDK---SDC1	0.000027
PSAP---LRP1	0.000026
ITGB1---TIMP2	0.000026
CYR61---ITGB5	0.000025
ITGB1---COL9A3	0.000025
APP---GPC1	0.000025
CCL4---ACKR2	0.000024
IGF2---IDE	0.000024
APOE---LRP2	0.000024
COL6A3---ITGB1	0.000024
MAG---FN1	0.000023
ACKR2---CCL3	0.000023
EGFR---TGFB1	0.000022
ITGA1---COL1A2	0.000022
GPC1---APP	0.000022
DLK1---NOTCH2	0.000022
EGFR---DCN	0.000020
GRN---TNFRSF1A	0.000019
VIPR1---PTMA	0.000019
DDR1---COL3A1	0.000019
VCAN---CD44	0.000019
APOE---SORL1	0.000017
FPR3---ANXA1	0.000017
DPP4---NPPB	0.000017
CD44---VCAN	0.000016
F11R---ITGB2	0.000015
SORL1---APOE	0.000015
TYROBP---SEMA6D	0.000014
CYR61---ITGAV	0.000013
COL18A1---ITGA5	0.000013
PRLR---CSH1	0.000013
COL5A1---ITGB1	0.000012
ITGA11---FN1	0.000012
CD81---GPC3	0.000012
SDC4---TGM2	0.000012
ST14---SPINT1	0.000011
EBI3---IL6ST	0.000011
LRP1---C1QB	0.000011
CCR1---CCL13	0.000011
COL3A1---DDR2	0.000011
FN1---TNFRSF11B	0.000011
GRN---TNFRSF1B	0.000011
TGFB1---ITGB6	0.000010
HGF---SDC1	0.000010
COL1A1---CD93	0.000010
LRP8---APOE	0.000010
CAV1---BST1	0.000010
FN1---ITGA2B	0.000010
ITGB5---CYR61	0.000010
S100A9---TLR4	0.000009
CCR1---CCL4	0.000009
MMP9---CD44	0.000009
