endocrine---endocrine	q-value: 0
SCTR---ADCYAP1	0.000356
COPA---SORT1	0.000352
IDE---IAPP	0.000332
HMGB1---THBD	0.000319
ADAM9---ITGB1	0.000317
IAPP---RAMP2	0.000312
ADCYAP1---SCTR	0.000312
IAPP---IDE	0.000307
TSPAN1---MDK	0.000306
GNAS---VIPR1	0.000302
LAMC2---ITGB1	0.000300
COL27A1---ITGB1	0.000296
ITGB1---LAMC2	0.000292
TNFRSF21---APP	0.000290
LRPAP1---SORT1	0.000289
ITGB1---COL27A1	0.000283
TNFSF12---TNFRSF12A	0.000282
TMEM222---PRSS23	0.000275
ITGB1---LAMC1	0.000273
PSAP---LRP1	0.000261
PLAU---ST14	0.000258
FGB---ITGB1	0.000255
THBD---HMGB1	0.000253
LRP1---PSAP	0.000253
LRPAP1---LDLR	0.000251
CD74---APP	0.000230
OPRD1---GNAI2	0.000228
LRPAP1---VLDLR	0.000211
NPNT---ITGB1	0.000211
ITGB1---ADAM9	0.000208
RAMP1---IAPP	0.000205
CD44---VIM	0.000199
PRSS23---TMEM222	0.000190
LDLR---LRPAP1	0.000186
MDK---TSPAN1	0.000183
SDC4---TGM2	0.000183
ITGB1---NPNT	0.000181
EDIL3---ITGAV	0.000180
PLAUR---ITGB1	0.000173
LAMB1---ITGB1	0.000172
GNAI2---OPRD1	0.000171
GNAI2---ADCY1	0.000169
SORT1---LRPAP1	0.000168
LAMC1---ITGB1	0.000168
ITGB1---COL6A1	0.000166
IGF2---IGF1R	0.000165
VLDLR---LRPAP1	0.000163
ADCY1---GNAI2	0.000160
ARF1---INSR	0.000160
SPINT1---ST14	0.000158
ST14---PLAU	0.000154
SORT1---COPA	0.000152
ST14---SPINT1	0.000151
ITGB1---PLAUR	0.000151
ERBB2---HLA-A	0.000150
VEGFA---NRP2	0.000148
LRP1---CALR	0.000145
IGF1R---IGF2	0.000143
GPI---AMFR	0.000142
HLA-A---ERBB2	0.000142
ADAM15---ITGB1	0.000138
ITGB1---FGB	0.000135
COL6A1---ITGB1	0.000132
ALB---B2M	0.000130
TIMP2---ITGA3	0.000123
ITGB1---L1CAM	0.000123
APP---CD74	0.000123
ITGAV---EDIL3	0.000121
BMP5---ACVR1	0.000120
INSR---ARF1	0.000116
ACVR1---INHBA	0.000116
RTN4---TNFRSF19	0.000110
UCN3---IL10RB	0.000109
ITGB1---LAMB1	0.000108
LIF---IL6ST	0.000104
TGM2---SDC4	0.000102
CNTNAP1---RTN4	0.000102
ITGA3---TIMP2	0.000101
INHBA---ACVR1	0.000100
CALR---LRP1	0.000099
GCG---GLP2R	0.000099
ITGB1---COL9A2	0.000099
TTR---NGFR	0.000095
TNFRSF19---RTN4	0.000095
HSP90AA1---CFTR	0.000095
RAMP2---IAPP	0.000093
PTPRF---CDH1	0.000092
NRP2---VEGFA	0.000091
ACVR1B---INHBA	0.000091
GSTP1---TRAF2	0.000091
GPR37---PSAP	0.000090
ADAM17---ITGB1	0.000089
ITGB1---ADAM17	0.000088
NGFR---TTR	0.000088
B2M---ALB	0.000081
EPHB2---VEGFA	0.000080
COL9A2---ITGB1	0.000080
DPP4---ADCYAP1	0.000080
PLD2---ARF1	0.000079
VEGFA---GPC1	0.000077
CDH1---PTPRF	0.000076
ARF1---PLD2	0.000075
ITGB1---ADAM15	0.000075
GNAS---LHCGR	0.000075
CELSR1---PSAP	0.000073
ADCYAP1---DPP4	0.000072
LAMA1---RPSA	0.000071
INSR---IGF2	0.000071
RPSA---LAMA1	0.000070
VEGFA---NRP1	0.000069
L1CAM---ITGB1	0.000068
VEGFA---EPHB2	0.000068
NAMPT---INSR	0.000066
IGF2---INSR	0.000065
F3---F10	0.000065
VIPR1---ADCYAP1	0.000065
LAMB2---RPSA	0.000063
PLAU---PLAUR	0.000062
GPC1---VEGFA	0.000060
GNAI2---IGF1R	0.000060
DDR1---COL5A2	0.000059
TRAF2---GSTP1	0.000057
ACVR1C---INHBA	0.000057
F10---F3	0.000056
BMP5---BMPR1A	0.000055
APP---LRP1	0.000054
ACVR1---BMP5	0.000054
SERPINA1---LRP1	0.000053
ARF1---CHRM3	0.000053
INSR---NAMPT	0.000052
PSAP---GPR37	0.000052
ITGB1---COL5A2	0.000051
INHBA---TGFBR3	0.000051
PTPRU---GNAI2	0.000051
CFTR---HSP90AA1	0.000050
IGF2R---PLAU	0.000049
GPC1---APP	0.000049
CHRM3---ARF1	0.000049
SDC4---MDK	0.000049
COL5A2---DDR1	0.000048
IL6ST---IL11	0.000047
HBEGF---CD44	0.000047
IGF1R---GNAI2	0.000046
IL10RB---UCN3	0.000046
FAP---NPY	0.000046
FGB---ITGAV	0.000045
NRP1---VEGFA	0.000045
TGFBR3---INHBA	0.000045
APP---GPC1	0.000045
PSAP---CELSR1	0.000045
LRP1---SERPINA1	0.000044
ITGAV---LAMC1	0.000044
RPSA---LAMB2	0.000044
PLAU---IGF2R	0.000043
CD82---HBEGF	0.000042
FGG---ITGB1	0.000041
ITGB1---FGG	0.000041
GNAI2---ADRA2A	0.000040
VIPR1---PTMA	0.000039
NPY---PRLHR	0.000038
CDH1---IGF1R	0.000036
BMP5---BMPR2	0.000035
BMPR1A---BMP5	0.000035
ADCYAP1---VIPR1	0.000035
BMPR2---BMP5	0.000034
LRP1---APP	0.000032
LRPAP1---LRP1	0.000032
RIMS2---ABCA1	0.000032
TFPI---VLDLR	0.000032
ITGAE---CDH1	0.000031
IL6ST---LIF	0.000031
LAMA5---BCAM	0.000031
HBEGF---CD82	0.000030
SPP1---ITGA9	0.000030
RTN4---CNTNAP1	0.000029
IGF1R---CDH1	0.000029
ADAM9---ITGAV	0.000028
ITGA9---SPP1	0.000028
BAMBI---INHBA	0.000028
COL5A2---ITGB1	0.000028
PTMA---VIPR1	0.000028
CDH1---ITGAE	0.000028
INHBA---ACVR1B	0.000027
TNFRSF1A---TNFSF13	0.000026
NPY5R---NPY	0.000026
ITGB1---COL6A2	0.000026
TNFSF13---TNFRSF1A	0.000026
PSEN1---NCSTN	0.000025
PTDSS1---JMJD6	0.000025
POMC---OPRD1	0.000025
DLK1---NOTCH4	0.000024
LIN7C---ABCA1	0.000024
ADRA2A---GNAI2	0.000024
PLAUR---PLAU	0.000024
NOTCH4---DLK1	0.000023
PTPRM---CDH1	0.000023
EPHB2---EFNB3	0.000022
PTGS2---PTGDR2	0.000022
ITGAV---ADAM9	0.000021
ITGA2---CDH1	0.000021
INHBA---BAMBI	0.000021
TGFB1---TGFBR3	0.000019
COL6A2---ITGB1	0.000019
COL18A1---ITGB1	0.000019
HBEGF---CD9	0.000018
ITGAV---L1CAM	0.000018
GDF5---ACVR1	0.000018
PLAUR---ITGAV	0.000018
CNTN1---L1CAM	0.000017
LRP1---LRPAP1	0.000017
ITGA5---SPP1	0.000017
MLLT4---PVRL2	0.000017
PRLHR---NPY	0.000017
ITGAV---FGB	0.000017
NPY---FAP	0.000016
ITGA2---LAMC1	0.000016
GNAI2---PTPRU	0.000016
NCSTN---PSEN1	0.000016
CD9---HBEGF	0.000016
FGF17---FGFR1	0.000016
CD44---HBEGF	0.000016
PLXNB2---SEMA4D	0.000016
FGFR1---FGF17	0.000015
LRRC4---NTNG2	0.000015
ITGAV---TGFB1	0.000015
MDK---SDC4	0.000015
VEGFB---NRP1	0.000015
MDK---LRP1	0.000015
TGFBR3---TGFB1	0.000015
ITGB1---COL5A1	0.000015
LRP1---MDK	0.000014
SEMA4D---PLXNB2	0.000014
INHBA---ACVR1C	0.000014
FGFR1---FGF9	0.000014
ADAM15---ITGAV	0.000014
ROBO2---OLFM2	0.000014
ACVR2B---INHBA	0.000014
C3---CD46	0.000014
OPRD1---POMC	0.000013
ITGB1---JAM2	0.000013
IGF2---IDE	0.000013
RTN4---RTN4R	0.000013
SEMA4B---DCBLD2	0.000013
ITGB1---COL1A2	0.000012
ITGAV---ADAM15	0.000012
SEMA7A---ITGB1	0.000012
EFNA5---EPHB2	0.000012
TGFB1---ACVR1	0.000012
SDC2---TGFB1	0.000012
IDE---IGF2	0.000012
BCAM---LAMA5	0.000012
LAMC1---ITGAV	0.000012
LAMC2---ITGA3	0.000012
ADM---RAMP2	0.000012
ITGAV---PLAUR	0.000011
MDK---ALK	0.000011
GNAI2---CAV1	0.000011
PLA2G2A---ITGB1	0.000011
ITGB1---COL1A1	0.000011
COL5A1---ITGB1	0.000011
FGFR1---FGF7	0.000010
ABCA1---RIMS2	0.000010
GDF5---BMPR1A	0.000010
SPP1---ITGA5	0.000010
JMJD6---PTDSS1	0.000010
SLC37A1---SHBG	0.000010
CD46---C3	0.000010
LRP8---LRPAP1	0.000010
ITGA1---COL6A1	0.000010
PSAP---GPR37L1	0.000010
OLFM2---ROBO2	0.000009
EPHA7---EFNA5	0.000009
PVRL2---MLLT4	0.000009
CTHRC1---FZD3	0.000009
ADAM9---ITGB5	0.000009
ABCA1---LIN7C	0.000009
CDH1---ITGA2	0.000009
RAMP2---ADM	0.000009
NPY5R---PNP	0.000009
ITGA2---COL5A2	0.000009
DCBLD2---SEMA4B	0.000009
ITGB1---COL18A1	0.000009
FGF7---FGFR1	0.000009
PDAP1---PDGFRB	0.000008
BMPR1A---BMPR2	0.000008
ITGB1---COL4A1	0.000008
ITGB1---SEMA7A	0.000008
BMP5---ACVR2B	0.000008
MMP1---CD44	0.000008
EFNB3---EPHB2	0.000008
FZD6---WNT4	0.000008
WNT4---FZD6	0.000008
ACVR1---TGFB1	0.000008
ITGB5---ADAM9	0.000008
SDC2---TNFSF13	0.000007
ITGB1---THBS1	0.000007
ITGB1---FN1	0.000007
FGG---ITGAV	0.000007
COL6A1---ITGA10	0.000007
RGMB---NEO1	0.000007
ITGA6---LAMC1	0.000007
L1CAM---CNTN1	0.000007
TMEM67---TCTN1	0.000007
SEMA4D---PLXNB1	0.000007
INHBA---ACVR2A	0.000007
INHBA---ACVR2B	0.000007
ITGB1---TNC	0.000007
ITGAV---FGG	0.000007
COL27A1---ITGA2	0.000007
TNC---ITGB1	0.000007
CGN---F11R	0.000007
MIF---TNFRSF10D	0.000007
SEMA4C---PLXNB2	0.000007
ADAM9---ITGA3	0.000007
FBN1---ITGB1	0.000007
CLDN4---SHBG	0.000007
CDH1---PTPRM	0.000006
ITGB3BP---ITGB5	0.000006
CD44---MMP9	0.000006
TCTN1---TMEM67	0.000006
INSR---HRAS	0.000006
NRP1---VEGFB	0.000006
ITGB5---ITGB3BP	0.000006
CRHR1---GNAS	0.000006
HRAS---INSR	0.000006
MDK---LRP2	0.000006
ITGB1---VTN	0.000006
ITGB1---COL6A3	0.000006
PLAU---LRP1	0.000006
RTN4R---RTN4	0.000006
PLXNB2---PTN	0.000006
FN1---CD44	0.000006
EPHB2---EFNA5	0.000006
ITGB5---LTBP3	0.000006
LTBP3---ITGB5	0.000006
EPHB2---EFNB2	0.000006
DSC2---DSG2	0.000006
TGFB1---SDC2	0.000006
LHCGR---GNAS	0.000006
DDR1---COL1A1	0.000006
GNAS---CRHR1	0.000006
TGFB1---ITGAV	0.000006
COL9A3---ITGB1	0.000005
HSP90AA1---EGFR	0.000005
LTB---TNFRSF1A	0.000005
EFNA5---EPHA8	0.000005
BMPR2---BMPR1A	0.000005
GFRA1---NRTN	0.000005
ALCAM---CD6	0.000005
NTN1---NEO1	0.000005
ITGB1---PLG	0.000005
PLXNA2---SEMA6A	0.000005
MMP9---CD44	0.000005
BMPR2---GDF5	0.000005
LRPAP1---LRP8	0.000005
MLLT4---PVRL1	0.000005
CD99---PILRA	0.000005
SCARB1---PTDSS1	0.000005
ITGB1---COL15A1	0.000005
PILRA---CD99	0.000005
VLDLR---TFPI	0.000005
CD44---MMP7	0.000005
IL17C---IL17RA	0.000005
BMPR1A---GDF5	0.000005
LRP1---PLAU	0.000005
NLGN2---NRXN1	0.000005
TNFSF13---SDC2	0.000005
LAMA3---ITGB1	0.000005
EGFR---SPINK1	0.000004
MDK---SDC3	0.000004
SHBG---CLDN4	0.000004
FGF9---FGFR1	0.000004
COL26A1---ITGB1	0.000004
NEO1---NTN1	0.000004
ACVR1B---GDF11	0.000004
EPHB2---MMP9	0.000004
EFNA3---EPHA1	0.000004
FN1---ITGB1	0.000004
CNR1---GNAI2	0.000004
TNFRSF1A---LTB	0.000004
CLEC2D---FAM3C	0.000004
MMP1---ITGA2	0.000004
SDC3---MDK	0.000004
BMP2---BMPR2	0.000004
PTGDR2---PTGS2	0.000004
JAG1---CD46	0.000004
TFPI---LRP1	0.000004
CD44---COL1A2	0.000004
CORT---SSTR2	0.000004
CD44---LGALS9	0.000004
ITGA2---COL27A1	0.000004
L1CAM---ITGAV	0.000004
SEMA4D---CD72	0.000004
CLCF1---IL6ST	0.000004
GPR37L1---PSAP	0.000004
SEMA6A---PLXNA2	0.000004
IL20RA---IL24	0.000004
APP---CAV1	0.000004
CCKBR---GAST	0.000004
EFNA1---EPHA8	0.000003
ASIP---F11R	0.000003
COL15A1---ITGB1	0.000003
LRP1---C3	0.000003
BMP2---ACVR1	0.000003
ACVR1---BMP2	0.000003
F8---LDLR	0.000003
ACVR2A---INHBA	0.000003
ITGB1---FBN1	0.000003
EFNA3---EPHA8	0.000003
IL17RA---IL17C	0.000003
EFEMP2---PLSCR4	0.000003
HRAS---GRIN2D	0.000003
ALK---MDK	0.000003
MFGE8---ITGAV	0.000003
ITGA10---COL6A1	0.000003
MLLT4---F11R	0.000003
LRP6---WNT3	0.000003
MLLT4---EPHB2	0.000003
SCARF1---CALR	0.000003
BMPR1A---BMP2	0.000003
FN1---ITGA2	0.000003
CAV1---GNAI2	0.000003
NRP1---PGF	0.000003
ITGA3---LAMC2	0.000003
ITGA5---L1CAM	0.000003
MLLT4---PVRL3	0.000003
NEO1---RGMB	0.000003
SEMA3E---PLXND1	0.000003
IGFBP4---LRP6	0.000003
SLIT1---GPC1	0.000003
ERBB4---HBEGF	0.000003
HRAS---CAV1	0.000003
VLDLR---PCSK9	0.000003
TNFSF10---RIPK1	0.000003
PLXNB2---SEMA4G	0.000003
FGA---ITGB1	0.000003
ITGB1---COL22A1	0.000003
CTHRC1---FZD5	0.000003
COL4A1---ITGB1	0.000003
COL27A1---ITGA10	0.000003
CTHRC1---FZD6	0.000003
ITGA5---COL1A1	0.000003
WNT3---RYK	0.000003
VEGFA---FLT1	0.000003
VEGFB---ADRB2	0.000003
EPHA2---EFNA5	0.000002
VEGFC---NRP2	0.000002
EPHA1---EFNA5	0.000002
EPHA1---EFNA1	0.000002
EBI3---IL6ST	0.000002
NPPC---NPR2	0.000002
SHBG---SLC37A1	0.000002
CD44---COL1A1	0.000002
BMP5---ACVR2A	0.000002
ITGB1---COL26A1	0.000002
HBEGF---ERBB4	0.000002
IL17RE---IL17C	0.000002
CD72---SEMA4D	0.000002
HSPG2---ITGB1	0.000002
CXCL2---DPP4	0.000002
NRSN1---SPINK1	0.000002
ITGAV---TNC	0.000002
EFNB2---EPHB2	0.000002
ADAM15---ITGA5	0.000002
ITGB1---PLA2G2A	0.000002
EPHA2---EFNA1	0.000002
GNAI2---TBXA2R	0.000002
TBXA2R---GNAI2	0.000002
COL1A2---ITGB1	0.000002
RIPK1---TNFSF10	0.000002
GRIN2D---HRAS	0.000002
ACVR1---GDF5	0.000002
LRP1---SERPINE2	0.000002
TGFB3---TGFBR3	0.000002
ITGA1---COL27A1	0.000002
ACVR1---AMH	0.000002
CAV1---APP	0.000002
CD46---JAG1	0.000002
CD40---LTB	0.000002
LRP1---A2M	0.000002
PLXNB2---SEMA4C	0.000002
SLC40A1---CP	0.000002
MMP9---EPHB2	0.000002
CD44---MMP1	0.000002
ADAM17---ERBB4	0.000002
NTNG2---LRRC4	0.000002
NOTCH2---DLK1	0.000002
COL22A1---ITGA2	0.000002
NCAM1---FGFR1	0.000002
SORBS1---INSR	0.000002
PVRL1---MLLT4	0.000002
GDF5---BMPR1B	0.000002
BMP2---BMPR1A	0.000002
AMH---BMPR1A	0.000002
ACKR1---CXCL8	0.000002
BMPR1B---BMP5	0.000002
LAMA1---ITGA2	0.000002
KCND2---IL16	0.000002
DSG2---DSC2	0.000002
TNC---CNTN1	0.000002
LAMA3---SDC2	0.000002
ITGAV---COL4A1	0.000002
COL1A1---ITGB1	0.000002
ITGB1---HSPG2	0.000001
PROC---PROCR	0.000001
NGF---SORT1	0.000001
UNC5A---NTN1	0.000001
AMH---ACVR1	0.000001
SSTR2---CORT	0.000001
C5AR1---RPS19	0.000001
BMP5---BMPR1B	0.000001
ADAM9---ITGA6	0.000001
PCSK9---VLDLR	0.000001
COL27A1---ITGA1	0.000001
EFNA5---EPHA2	0.000001
ITGA3---ADAM9	0.000001
CHAD---ITGB1	0.000001
CP---SLC40A1	0.000001
NLGN2---NRXN3	0.000001
COL1A1---DDR1	0.000001
GNAI2---EGFR	0.000001
C3---LRP1	0.000001
CAV1---HRAS	0.000001
ADRB2---VEGFB	0.000001
MMP9---LRP1	0.000001
ITGAV---FBN1	0.000001
EPHA8---EFNA5	0.000001
CD47---SIRPA	0.000001
EPHA1---EFNA3	0.000001
IL6ST---CLCF1	0.000001
IL24---IL20RA	0.000001
ITGB1---COL28A1	0.000001
ERBB2---HBEGF	0.000001
TNFRSF10B---TNFSF10	0.000001
LRP6---IGFBP4	0.000001
CCR10---CCL28	0.000001
ITGA1---COL5A2	0.000001
FGFR1---NCAM1	0.000001
CD36---COL1A1	0.000001
ITGA5---FGB	0.000001
RPSA---PRND	0.000001
COL6A1---ITGA2	0.000001
ERBB2---EFNB1	0.000001
INHBA---ENG	0.000001
CORT---SSTR3	0.000001
LAMC1---ITGA2	0.000001
NTN1---UNC5A	0.000001
TNFSF10---TNFRSF11B	0.000001
SEMA7A---PLXNC1	0.000001
FBLN1---ITGB1	0.000001
PLG---ITGB1	0.000001
ITGA2B---CALR	0.000001
SERPINE2---LRP1	0.000001
ACVR2B---BMP5	0.000001
PLGRKT---PLG	0.000001
WNT3---FZD1	0.000001
LRP1---SERPINE1	0.000001
SLIT1---ROBO1	0.000001
ERBB4---ADAM17	0.000001
PTDSS1---SCARB1	0.000001
LAMA1---ITGB1	0.000001
NTN1---UNC5B	0.000001
ITGA1---COL9A2	0.000001
SSTR3---CORT	0.000001
TNFSF13---TNFRSF14	0.000001
LTBR---LTB	0.000001
LAMP1---AMELX	0.000001
COL26A1---ITGA1	0.000001
ITGB4---NRG1	0.000001
EPHB4---EFNB3	0.000001
F11R---MLLT4	0.000001
SDC4---CCL5	0.000001
LIFR---LIF	0.000001
F13A1---ITGB1	0.000001
S1PR1---SPP1	0.000001
GDF15---GFRAL	0.000001
CD44---FN1	0.000001
GDF11---ACVR1B	0.000001
SEMA4A---PLXND1	0.000001
ASIP---MC1R	0.000001
GFRA1---NCAM1	0.000001
ACVR2A---BMP5	0.000001
ITGB1---LAMA1	0.000001
GDF5---BMPR2	0.000001
EFNB3---EPHB4	0.000001
JAM3---JAM2	0.000001
FN1---ITGAV	0.000001
COL1A2---CD44	0.000001
MMP7---CD151	0.000001
EPHA4---EFNA3	0.000001
NRXN1---NLGN1	0.000001
IL20RA---IL20	0.000001
FAP---PYY	0.000001
MMP7---CD44	0.000001
LGALS9---CD44	0.000001
CALCA---RAMP1	0.000001
NRXN3---NLGN2	0.000001
ICAM4---ITGB1	0.000001
ITGB1---CXCL12	0.000001
GDF9---FXYD6	0.000001
SPINK1---EGFR	0.000001
ITGB1---COL9A3	0.000001
ITGA6---LAMC2	0.000001
DRD2---GNAI2	0.000001
RPS19---C5AR1	0.000001
NRXN3---NLGN1	0.000001
FGFR1---FGF2	0.000001
CXCL8---ACKR1	0.000001
TNC---ITGAV	0.000001
SELL---PODXL2	0.000001
TGFB3---ACVR1	0.000001
COL22A1---ITGA10	0.000001
ACVR2B---BMP2	0.000001
THBS1---ITGB1	0.000001
FGF9---FGFR4	0.000001
EPHA4---EFNA5	0.000001
CCL2---CCR10	0.000001
LDLR---F8	0.000000
ITGA2---COL6A1	0.000000
AMELY---LAMP1	0.000000
PTPRZ1---MDK	0.000000
CTF1---IL6ST	0.000000
NLGN1---NRXN1	0.000000
ITGA10---COL27A1	0.000000
FN1---SDC2	0.000000
LIPH---LPAR2	0.000000
NRXN3---MLLT4	0.000000
LIF---LIFR	0.000000
GDF9---ORAI2	0.000000
ITGA2---COL9A2	0.000000
CXCL12---ITGB1	0.000000
LRPAP1---LRP2	0.000000
CD6---ALCAM	0.000000
VTN---ITGB1	0.000000
BMPR1A---AMH	0.000000
UCN3---CRHR1	0.000000
FGFR4---FGF9	0.000000
MDK---PTPRZ1	0.000000
BRS3---NMB	0.000000
COL6A3---ITGB1	0.000000
ITGB1---ADAM12	0.000000
EFNB3---EPHA4	0.000000
FN1---ITGA10	0.000000
IAPP---CALCR	0.000000
CD44---VCAN	0.000000
CALR---SCARF1	0.000000
NLGN2---NRXN2	0.000000
FGF7---NRP1	0.000000
VCAN---CD44	0.000000
CD151---MMP7	0.000000
GNAI2---LHCGR	0.000000
ERBB3---L1CAM	0.000000
DDR1---COL3A1	0.000000
L1CAM---ITGA5	0.000000
PDGFB---PDGFRB	0.000000
EPHB2---MLLT4	0.000000
ITGB1---COL17A1	0.000000
HGF---CD44	0.000000
TNFRSF10D---MIF	0.000000
COL4A1---ITGA1	0.000000
IL6ST---CTF1	0.000000
CALR---ITGA2B	0.000000
ITGAV---MFGE8	0.000000
PSPN---RET	0.000000
LEPR---APOD	0.000000
PRND---RPSA	0.000000
LRP5---WNT7B	0.000000
AGT---AGTR1	0.000000
PYY---DPP4	0.000000
EFNA5---EPHA1	0.000000
PLG---PLGRKT	0.000000
FBN1---ITGAV	0.000000
ITGB1---COL11A1	0.000000
TGFBR1---GDF11	0.000000
PLXNB1---SEMA4D	0.000000
TGFB1---ITGB8	0.000000
EPHB2---EFNB1	0.000000
ITGA5---ADAM15	0.000000
ADAM2---ITGB1	0.000000
REN---ATP6AP2	0.000000
MC1R---POMC	0.000000
APOD---LEPR	0.000000
GNAI2---DRD2	0.000000
EFNB2---EPHB4	0.000000
SEMA3A---PLXNA2	0.000000
PTN---PLXNB2	0.000000
PROC---THBD	0.000000
GNAI2---OPRM1	0.000000
GFRA1---ARTN	0.000000
LRP2---LRPAP1	0.000000
CALCB---CALCR	0.000000
AGTR1---AGT	0.000000
ITGB1---COL3A1	0.000000
CCR10---CCL27	0.000000
PVRL3---MLLT4	0.000000
SPINK1---NRSN1	0.000000
COL1A1---CD44	0.000000
POMC---OPRM1	0.000000
ITGA5---ADAM17	0.000000
HGF---SDC2	0.000000
ITGAV---THBS1	0.000000
DPP4---PYY	0.000000
ITGB1---FGA	0.000000
NRP2---PGF	0.000000
AGT---LRP2	0.000000
ADORA2A---NAMPT	0.000000
GAST---CCKBR	0.000000
EFNB2---EPHA4	0.000000
COL22A1---ITGB1	0.000000
EFNA3---EPHA4	0.000000
FCGRT---ALB	0.000000
HBEGF---ERBB2	0.000000
ITGA5---ADAM23	0.000000
ITGB1---COL4A5	0.000000
ADM---CALCR	0.000000
DLK1---NOTCH3	0.000000
SFRP1---FZD6	0.000000
TNFSF10---TNFRSF10B	0.000000
PYY---FAP	0.000000
VCAN---ITGB1	0.000000
GAS6---TYRO3	0.000000
SORT1---NGF	0.000000
AGTR1---HRAS	0.000000
HRAS---AGTR1	0.000000
GPC1---SLIT1	0.000000
DPP4---CXCL2	0.000000
COL9A2---ITGA2	0.000000
NGF---ROR1	0.000000
LTB---CD40	0.000000
ITGB1---F13A1	0.000000
SEMA4G---PLXNB2	0.000000
EGFR---HSP90AA1	0.000000
EFNA1---EPHA4	0.000000
ACKR1---CXCL1	0.000000
CALCR---ADM	0.000000
ORAI2---GDF9	0.000000
THBS1---CD47	0.000000
TF---TFRC	0.000000
LCN2---LRP2	0.000000
ITGB1---VCAN	0.000000
RYK---WNT3	0.000000
NRXN1---NLGN2	0.000000
EFNA5---EPHA4	0.000000
KNG1---GPR135	0.000000
EDA2R---EDA	0.000000
PDGFB---LRP1	0.000000
WNT7B---LRP5	0.000000
IL6ST---IL12A	0.000000
SIRPA---CD47	0.000000
ITGA2---COL22A1	0.000000
F11R---CGN	0.000000
COL6A1---ITGA1	0.000000
FGA---ITGAV	0.000000
FGB---ITGA5	0.000000
ITGA2---COL18A1	0.000000
ACVR2B---GDF5	0.000000
FGF2---CD44	0.000000
IL16---KCND1	0.000000
LRP2---MDK	0.000000
EPHA8---EFNA1	0.000000
ACVR1---TGFB3	0.000000
LRP2---AGT	0.000000
LRP2---PLAU	0.000000
EDN3---EDNRB	0.000000
ITGA1---COL18A1	0.000000
ITGA6---LAMB1	0.000000
ITGA1---COL6A2	0.000000
TGFBR3---TGFB3	0.000000
IL11RA---IL11	0.000000
TNFRSF25---TNFSF12	0.000000
PGF---NRP1	0.000000
LAMC2---ITGA6	0.000000
ITGA5---CTGF	0.000000
NLGN1---NRXN3	0.000000
PLXND1---SEMA3E	0.000000
CD40---TNFSF13B	0.000000
IL2RG---ICAM1	0.000000
EFNA1---EPHA5	0.000000
ARTN---GFRA1	0.000000
FGF2---SDC2	0.000000

endothelial---endocrine	q-value: 0

Ligand---Receptor	contribution
INSR---INS	0.658457
IGF1R---INS	0.095800
TIMP1---CD63	0.027333
IDE---INS	0.017340
SSTR2---SST	0.016510
