B-cell---B-cell	q-value: 1.7699e-08
SLAMF7---SLAMF7	0.000822
ADAM15---ITGB1	0.000813
RPSA---PRND	0.000739
ICAM3---ITGB2	0.000737
TNFRSF1A---LTB	0.000673
CD27---CD70	0.000657
FAS---TNF	0.000648
TNFRSF13B---TNFSF13	0.000627
TNFSF13B---CD40	0.000596
PSEN1---NOTCH1	0.000574
BAG6---NCR3	0.000558
FCER2---ITGAM	0.000528
CLEC2D---FAM3C	0.000502
ARF1---PLD2	0.000487
ADAM17---NOTCH1	0.000462
COL4A3---CD47	0.000447
KCNJ15---IL16	0.000409
ITGA5---ADAM15	0.000407
JAM3---ITGB2	0.000398
LTA---TNFRSF1A	0.000391
ITGAL---ICAM2	0.000385
LILRB2---HLA-B	0.000379
TNFRSF1A---GRN	0.000376
ITGA5---ADAM17	0.000358
AMFR---GPI	0.000352
IL16---KCNJ15	0.000347
TNFSF10---TNFRSF10B	0.000331
COL4A3---ITGB1	0.000322
LILRB2---HLA-C	0.000321
HLA-A---KIR3DL2	0.000318
TNFRSF14---LTA	0.000300
RIPK1---TNF	0.000300
APP---NCSTN	0.000285
CD55---CD97	0.000285
ICAM2---ITGB2	0.000279
IL6---IL6R	0.000271
ARF1---CHRM3	0.000263
SIRPB1---CD47	0.000251
CHRM3---ARF1	0.000248
GRN---TNFRSF1A	0.000240
TNF---TNFRSF1B	0.000227
ADORA2B---ENTPD1	0.000225
PLD2---ARF1	0.000216
KIR3DL2---HLA-A	0.000211
GRN---TNFRSF1B	0.000188
MFNG---NOTCH2	0.000186
SIRPA---CD47	0.000170
PSEN1---NOTCH2	0.000164
TNFSF13---TNFRSF1A	0.000160
CD84---CD84	0.000156
TNFRSF10A---TNFSF10	0.000149
ITGAL---F11R	0.000140
TNFRSF10B---TNFSF10	0.000109
TNFSF13---FAS	0.000106
NCSTN---APP	0.000105
ITGAM---ICAM2	0.000055

CAF---B-cell	q-value: 0

Ligand---Receptor	contribution
CCL21---CCR7	0.472481
CCL19---CCR7	0.143323
APP---CD74	0.039516
CXCL12---CXCR4	0.038460
COL3A1---ITGB1	0.032473
COL1A2---ITGB1	0.032406
COL1A1---ITGB1	0.029718
PLA2G2A---ITGB1	0.019142
VIM---CD44	0.015378
CCL21---CXCR3	0.015073
FN1---ITGB1	0.011444
COL1A2---CD44	0.009878
COL1A1---CD44	0.009137
CXCL12---ITGB1	0.007555
MMP1---CD44	0.005450
CANX---HLA-B	0.004344
CCL19---CXCR3	0.004253
FBLN1---ITGB1	0.002989
LGALS3BP---ITGB1	0.002975
C3---CD19	0.002595
VCAM1---ITGB1	0.002297
FN1---CD44	0.002226
CTGF---ITGAM	0.001985
THBS1---ITGB1	0.001900
CTGF---ITGA5	0.001894
PLA2G2A---ITGA4	0.001841
COL6A1---ITGB1	0.001781
VCAN---ITGB1	0.001337
HLA-B---LILRB1	0.001251
HLA-B---CANX	0.001248
CD44---VIM	0.001095
MIF---TNFRSF14	0.000852
TNC---ITGB1	0.000823
LAMB2---RPSA	0.000691
CFH---SELL	0.000619
COL6A2---ITGB1	0.000604
VCAM1---ITGA4	0.000571
HLA-A---APLP2	0.000453
HLA-A---LILRB1	0.000423
FBN1---ITGB1	0.000422
CTGF---ITGB2	0.000413
COL1A1---ITGA5	0.000401
C3---ITGAM	0.000351
COL6A3---ITGB1	0.000349
FN1---ITGA4	0.000347
PLAUR---ITGB1	0.000332
PLA2G2A---ITGA5	0.000327
THBS2---ITGB1	0.000320
CYR61---ITGAM	0.000305
HLA-C---LILRB1	0.000276
HLA-B---KLRD1	0.000249
CYR61---ITGA5	0.000219
APLP2---HLA-A	0.000195
COL5A2---ITGB1	0.000157
LTBR---LTB	0.000129
NRP1---PGF	0.000124
CYR61---ITGB2	0.000109
CXCL12---CXCR3	0.000095
DARC---CCL5	0.000087
KLRD1---HLA-B	0.000079
CD74---APP	0.000065
CD40---LTB	0.000058
TNFSF13B---CD40	0.000031
CD97---CD55	0.000031
TGM2---ITGB1	0.000026
VCAM1---ITGB2	0.000022
HLA-E---KLRD1	0.000021
CCL5---CCR5	0.000015
THBD---HMGB1	0.000015
C3---ITGB2	0.000012
TNFRSF14---MIF	0.000010
TNFSF13B---TNFRSF13B	0.000009
TNFRSF1B---GRN	0.000009
PSEN1---NCSTN	0.000009
C3---CD46	0.000008
PDGFRB---PDAP1	0.000004

CAF---CAF	q-value: 0

Ligand---Receptor	contribution
CD63---TIMP1	0.099507
TIMP1---CD63	0.090781
ITGB1---COL1A1	0.051550
ITGB1---COL1A2	0.045625
ITGB1---COL3A1	0.044942
HLA-B---CANX	0.028322
ITGB1---PLA2G2A	0.025295
CD44---COL1A1	0.022148
CD44---COL1A2	0.019708
PLA2G2A---ITGB1	0.019602
CANX---HLA-B	0.017691
COL1A2---ITGB1	0.016229
COL1A1---ITGB1	0.015823
VIM---CD44	0.015413
COL3A1---ITGB1	0.014744
COL1A2---CD44	0.009282
CD44---VIM	0.007416
PLA2G2A---ITGA5	0.007247
COL1A1---CD44	0.007246
APLP2---HLA-A	0.007139
ITGA11---COL3A1	0.006438
ITGA5---COL1A1	0.006348
ITGA11---COL1A1	0.006287
COL1A2---ITGA11	0.005707
ITGA11---COL1A2	0.005651
CD46---C3	0.005509
COL1A1---ITGA5	0.005145
LAMB2---RPSA	0.005086
HLA-A---APLP2	0.004651
COL3A1---ITGA11	0.004518
COL1A1---ITGA11	0.004402
MMP1---CD44	0.003680
C3---CD46	0.003102
ITGA5---PLA2G2A	0.003019
ITGB1---LGALS3BP	0.002350
ITGB1---FN1	0.002080
ITGB1---COL6A1	0.002014
CXCL12---CD4	0.001985
CD44---MMP1	0.001868
CD4---CXCL12	0.001846
ITGA1---COL3A1	0.001747
FN1---ITGB1	0.001667
DDR2---COL3A1	0.001617
DARC---CCL5	0.001521
LRP1---CTGF	0.001436
FBLN1---ITGB1	0.001367
CYR61---ITGAV	0.001272
ITGB1---FBLN1	0.001169
ITGA1---COL1A2	0.001023
CTGF---LRP1	0.000969
CD74---APP	0.000959
ITGB1---VCAN	0.000859
CD44---FN1	0.000833
CTGF---ITGA5	0.000807
ITGB1---COL6A2	0.000777
F10---F3	0.000763
LRP1---MDK	0.000756
EGFR---DCN	0.000753
ITGA2---COL3A1	0.000656
ITGB1---VCAM1	0.000653
DDR2---COL1A1	0.000624
FN1---PLAUR	0.000620
PGF---NRP1	0.000611
LGALS3BP---ITGB1	0.000609
COL3A1---DDR2	0.000573
PLA2G2A---ITGA4	0.000569
NRP1---PGF	0.000523
CXCL12---ITGB1	0.000423
HLA-B---KLRD1	0.000403
TNFRSF1B---GRN	0.000372

Endothelial---B-cell	q-value: 3.5318e-09

Ligand---Receptor	contribution
APP---CD74	0.467138
CCL21---CCR7	0.248652
VIM---CD44	0.047664
CCL21---CXCR3	0.027723
HLA-B---CANX	0.014513
LAMB2---RPSA	0.013096
CANX---HLA-B	0.011829
APLP2---HLA-A	0.011280
MIF---TNFRSF14	0.010508
HLA-B---LILRB1	0.008776
HLA-A---LILRB1	0.008616
PODXL---SELL	0.004680
CYR61---ITGB2	0.004544
HLA-C---LILRB1	0.004292
FN1---ITGB1	0.004180
HLA-A---APLP2	0.003960
CLEC4M---ICAM3	0.003451
TGM2---ITGB1	0.003014
LAMB1---ITGB1	0.002797
THBS1---ITGB1	0.002710
FN1---CD44	0.002465
CD34---SELL	0.002146
TNFRSF1A---LTB	0.001977
HLA-B---KLRD1	0.001586
THBS1---CD47	0.001540
TIMP1---CD63	0.001496
COL15A1---ITGB1	0.001479
ADAM15---ITGB1	0.001325
CD40---LTB	0.001181
GRN---TNFRSF1A	0.001087
CAV1---GNAI2	0.001058
MRC1---PTPRC	0.000970
KLRD1---HLA-B	0.000934
THBD---HMGB1	0.000926
LTBR---LTB	0.000867
COL12A1---ITGB1	0.000853
COL4A2---ITGB1	0.000744
TNFRSF14---MIF	0.000743
THBS1---ITGA4	0.000624
VCAM1---ITGB1	0.000584
HLA-E---KLRD1	0.000570
CXCL12---CXCR4	0.000562
FN1---ITGB7	0.000561
TNFRSF14---TNFSF13	0.000560
LGALS9---CD44	0.000557
APP---NCSTN	0.000531
FN1---ITGA4	0.000525
ICAM2---ITGAL	0.000501
HBEGF---CD82	0.000416
IL2RG---IL7	0.000384
TNFRSF14---BTLA	0.000360
TNFRSF14---LTA	0.000326
JAM2---ITGB1	0.000320
HSPG2---ITGB1	0.000316
TNFSF10---TNFRSF10B	0.000313
TNFRSF1A---GRN	0.000291
SCARF1---CALR	0.000283
PRSS23---TMEM222	0.000270
GNAI2---CNR1	0.000262
ICAM2---ITGB2	0.000257
COL4A1---ITGB1	0.000208
VCAM1---ITGA4	0.000208
THY1---ITGB2	0.000198
TNFRSF1A---TNF	0.000187
ITGB1---ADAM17	0.000179
CTGF---ITGB2	0.000173
PLD2---ARF1	0.000168
CCL14---CCR1	0.000164
ICAM2---ITGAM	0.000164
TNFSF10---TNFRSF10A	0.000158
HP---ITGAM	0.000136
SEMA4D---CD72	0.000087
CD14---ITGB1	0.000082
GRN---TNFRSF1B	0.000072
MFAP2---NOTCH1	0.000056
HP---ITGB2	0.000052
ITGB1---COL9A3	0.000051
ITGA5---ADAM15	0.000049
THY1---ITGAX	0.000044

Endothelial---CAF	q-value: 1.4952e-06

Ligand---Receptor	contribution
APP---CD74	0.081745
CD36---COL1A2	0.074693
CD36---COL1A1	0.074274
TIMP1---CD63	0.072055
ITGB1---COL1A1	0.068503
ITGB1---COL1A2	0.064107
ITGB1---COL3A1	0.055974
ITGB1---PLA2G2A	0.043930
CD63---TIMP1	0.037699
VIM---CD44	0.034466
CANX---HLA-B	0.022474
HLA-B---CANX	0.019286
ITGB1---FN1	0.018219
HLA-A---APLP2	0.012407
ITGA5---COL1A1	0.011987
ITGA5---PLA2G2A	0.010506
LAMB2---RPSA	0.008381
ITGA5---CYR61	0.007218
RAMP2---ADM	0.005236
ITGA5---CTGF	0.004965
ITGB1---THBS1	0.004328
AQP1---EFEMP2	0.004099
ITGB1---FBLN1	0.003641
ITGB1---LGALS3BP	0.003506
ITGA1---COL3A1	0.003279
ITGB1---COL6A1	0.002931
RPSA---LAMB2	0.002900
APLP2---HLA-A	0.002721
ITGB1---VCAN	0.002714
A2M---LRP1	0.002628
ITGA5---FN1	0.002276
ITGB1---COL6A2	0.002145
APP---NCSTN	0.001987
ITGA1---COL1A2	0.001961
ITGB1---VCAM1	0.001753
ITGA1---COL1A1	0.001608
GRN---TNFRSF1B	0.001592
NTS---SORT1	0.001259
SDC3---MDK	0.001099
TLR4---BGN	0.000897
SCARF1---CALR	0.000740

Endothelial---Endothelial	q-value: 9.2532e-16

Ligand---Receptor	contribution
APP---CAV1	0.078392
HLA-A---APLP2	0.071191
APP---CD74	0.068022
CD74---APP	0.041880
CAV1---APP	0.040719
CYR61---ITGA5	0.034502
HLA-B---CANX	0.030524
APLP2---HLA-A	0.030217
ITGA5---CYR61	0.027951
CANX---HLA-B	0.027601
CCL2---DARC	0.020087
CD63---TIMP1	0.019075
HBEGF---CD9	0.012843
TNFRSF14---MIF	0.011880
MIF---TNFRSF14	0.011709
RPSA---LAMB2	0.011185
APP---NCSTN	0.010030
RAMP2---ADM	0.008080
GRN---TNFRSF1A	0.007947
TIMP1---CD63	0.007656
CAV1---PTGS2	0.007240
ITGB1---TGM2	0.007208
CTGF---ITGA5	0.005924
LAMB2---RPSA	0.005650
NCSTN---APP	0.004436
ITGB1---THBS1	0.003891
FN1---ITGA5	0.003883
HMGB1---THBD	0.003792
GPR182---ADM	0.003644
APP---TNFRSF21	0.003597
ITGB1---FN1	0.003162
TGM2---ITGB1	0.002765
CCL5---DARC	0.002552
CD36---THBS1	0.002509
COL15A1---ITGB1	0.002379
PRSS23---TMEM222	0.002297
CAV1---GNAI2	0.002222
THBD---HMGB1	0.002197
CD47---THBS1	0.002144
KLRD1---HLA-B	0.002039
TLR4---BGN	0.001759
THBS1---CD36	0.001459
GNAI2---CAV1	0.001455
TEK---ANGPT2	0.001409
DARC---CCL5	0.000995
TNFRSF1A---GRN	0.000738

Macrophage---B-cell	q-value: 0.33457

Ligand---Receptor	contribution
SPP1---ITGB1	0.246176
SPP1---CD44	0.073233
CD14---ITGB1	0.043038
SPP1---S1PR1	0.035046
APP---CD74	0.029654
HLA-B---CANX	0.029241
HLA-B---LILRB1	0.026975
CANX---HLA-B	0.022951
TYROBP---CD47	0.022108
CD74---APP	0.019187
HLA-C---LILRB1	0.018129
APLP2---HLA-A	0.017774
SPP1---ITGA4	0.016123
PLAUR---ITGB1	0.014087
ITGB2---FCER2	0.011406
CXCL12---CXCR4	0.011377
HLA-A---LILRB1	0.011143
VIM---CD44	0.010303
THBS1---ITGB1	0.009878
LILRB2---HLA-B	0.008670
LILRB1---HLA-B	0.008551
MIF---TNFRSF14	0.007758
LILRB2---HLA-C	0.006642
SIGLEC10---CD52	0.006219
SLAMF7---SLAMF7	0.006193
FN1---ITGB1	0.005848
CD14---ITGA4	0.005745
CD1B---PSAP	0.005344
LILRB1---HLA-C	0.005148
LGALS3BP---ITGB1	0.005026
VCAN---ITGB1	0.004840
ITGB2---ICAM3	0.004802
ITGAX---FCER2	0.004323
C3---CD19	0.004085
SPP1---ITGAV	0.004012
LILRB1---HLA-A	0.003977
SELPLG---SELL	0.003739
LILRB2---HLA-A	0.003718
TNFRSF1B---GRN	0.003716
LY86---CD180	0.003694
HLA-B---KLRD1	0.003479
TNFRSF1A---LTB	0.003127
ICAM1---ITGB2	0.002369
C5AR1---RPS19	0.002295
GRN---TNFRSF1B	0.002214
AXL---ADAM10	0.002071
CD44---VIM	0.002006
TNFSF13---TNFRSF14	0.001998
VCAM1---ITGB7	0.001959
SEMA4D---CD72	0.001940
VCAM1---ITGB2	0.001707
LTBR---LTB	0.001652
CD4---IL16	0.001210
ICAM2---ITGB2	0.001129
HLA-A---APLP2	0.001069
ITGB2---ICAM2	0.001016
IL2RG---IL7	0.000963
PSAP---GPR37L1	0.000906
CXCL12---ITGB1	0.000901
FN1---CD44	0.000814
TNFSF13B---CD40	0.000748

Macrophage---CAF	q-value: 0

Ligand---Receptor	contribution
SPP1---ITGB1	0.140891
TIMP1---CD63	0.093748
CD74---APP	0.059605
SPP1---CD44	0.052084
CD63---TIMP1	0.043136
ITGB2---CTGF	0.022860
SPP1---ITGA5	0.020407
CD36---COL1A2	0.019744
CD36---COL1A1	0.019163
ITGB2---CYR61	0.017803
CD44---COL1A2	0.016902
CD44---COL1A1	0.015620
ITGB1---COL3A1	0.014905
ITGB1---COL1A1	0.014024
ITGB1---COL1A2	0.013684
PLAUR---FN1	0.012813
CD44---VIM	0.010943
C1QB---LRP1	0.010800
CD14---ITGB1	0.010576
CXCR4---CXCL12	0.009518
PSAP---LRP1	0.008433
ITGB2---C3	0.006779
ITGB2---VCAM1	0.006710
ITGB1---PLA2G2A	0.006417
SPP1---ITGA4	0.006118
HLA-B---CANX	0.005986
CD44---MMP1	0.005568
ITGA5---COL1A1	0.003281
LILRB2---HLA-B	0.002956
PILRA---CD99	0.002868
SPP1---ITGAV	0.002537
CANX---HLA-B	0.002518
CD4---CXCL12	0.002488
SPP1---ITGB3	0.002487
HLA-A---APLP2	0.002370
ITGB2---THY1	0.002307
LILRB1---HLA-B	0.002112
ITGA5---PLA2G2A	0.001945
ITGB1---CXCL12	0.001631
ITGB2---ICAM1	0.001550
CD44---FN1	0.001509
PLAUR---ITGB1	0.001379
THBS1---ITGB1	0.001188
VIM---CD44	0.000941
PLAUR---PLAU	0.000792
ITGA4---PLA2G2A	0.000713
ITGA5---CTGF	0.000654
LILRB2---HLA-A	0.000629
LILRB2---HLA-C	0.000584
VCAN---ITGB1	0.000575
CCRL2---CCL19	0.000501
GRN---TNFRSF1B	0.000377
GRN---TNFRSF1A	0.000347
TYROBP---CD47	0.000317
SDC2---FN1	0.000283
FN1---ITGB1	0.000208
PLD2---ARF1	0.000205
PLAUR---ITGAV	0.000164

Macrophage---Endothelial	q-value: 0

Ligand---Receptor	contribution
CD74---APP	0.503325
SPP1---ITGB1	0.050638
IL8---DARC	0.032388
SPP1---ITGA5	0.021539
ITGB2---CYR61	0.019530
CCL2---DARC	0.015691
LILRB2---HLA-B	0.013404
CD14---ITGB1	0.012189
CCL8---DARC	0.011257
LILRB1---HLA-B	0.011187
APLP2---HLA-A	0.010451
HLA-B---CANX	0.010356
HLA-A---APLP2	0.010335
CXCL1---DARC	0.009973
CANX---HLA-B	0.009202
ITGB2---ICAM2	0.008720
LILRB2---HLA-A	0.008643
CD44---VIM	0.008402
SPP1---S1PR1	0.008256
LILRB1---HLA-A	0.007503
TYROBP---CD47	0.007217
LILRB2---HLA-C	0.005910
CD63---TIMP1	0.005159
LILRB1---HLA-C	0.005075
TIMP1---CD63	0.004922
C1QA---CD93	0.004610
F13A1---ITGB1	0.004299
THBS1---CD36	0.003768
CXCL5---DARC	0.003750
CCR1---CCL14	0.003016
SPP1---ITGA9	0.002480
BST1---CAV1	0.002182
THBS1---ITGB1	0.002094
GRN---TNFRSF1A	0.001903
ITGB2---CTGF	0.001847
CXCL10---SDC4	0.001833
FN1---ITGB1	0.001481
APP---CD74	0.001465
LILRA3---HLA-C	0.001411
MIF---TNFRSF14	0.001399
ITGAM---CYR61	0.001091
PLAUR---ITGB1	0.000863
ADM---RAMP2	0.000807
CCR5---CCL14	0.000790
ITGB7---FN1	0.000753
F13A1---ITGA9	0.000624
CXCL10---DPP4	0.000603
GNAI2---CAV1	0.000572
TNFRSF1B---GRN	0.000561
CD1B---PSAP	0.000553
ITGB2---VCAM1	0.000509
LGALS3BP---ITGB1	0.000419
PILRA---CD99	0.000368
FN1---ITGA5	0.000353
CCL5---DARC	0.000305
CXCL12---ITGB1	0.000276
C5AR1---RPS19	0.000270
CXCL11---DPP4	0.000264
TNFRSF14---MIF	0.000232
AXL---GAS6	0.000189
IL1B---IL1R1	0.000188
HLA-B---KLRD1	0.000127
HBEGF---CD9	0.000097
NCSTN---APP	0.000097
RPSA---LAMB2	0.000064

Macrophage---Macrophage	q-value: 0

Ligand---Receptor	contribution
CD44---SPP1	0.059771
SPP1---CD44	0.046303
ITGB1---SPP1	0.035543
CD74---APP	0.034989
SPP1---ITGB1	0.033559
APP---CD74	0.030764
LILRB2---HLA-B	0.029487
CANX---HLA-B	0.028956
TIMP1---CD63	0.023122
HLA-B---CANX	0.020518
LILRB1---HLA-B	0.019003
LILRB2---HLA-C	0.017293
HLA-A---APLP2	0.017095
APLP2---HLA-A	0.016899
CD63---TIMP1	0.015770
HLA-B---LILRB2	0.014118
ITGA5---SPP1	0.012044
HLA-B---LILRB1	0.010397
LILRB1---HLA-C	0.009545
LILRB2---HLA-A	0.008506
CD1B---PSAP	0.007909
ITGA4---SPP1	0.007186
SDC2---IL8	0.006586
SPP1---ITGA5	0.006047
HLA-C---LILRB1	0.006022
LILRB1---HLA-A	0.005323
HLA-C---LILRB2	0.005141
CD14---ITGB1	0.005063
ITGB2---ICAM1	0.004582
TNFRSF1B---GRN	0.004438
HLA-A---LILRB1	0.004371
SPP1---ITGA4	0.004263
HLA-C---LILRA3	0.004229
FN1---PLAUR	0.003591
HLA-A---LILRB2	0.003411
TNFRSF14---MIF	0.003102
PLAUR---FN1	0.003088
F13A1---ITGB1	0.003064
CD44---VIM	0.002933
GRN---TNFRSF1B	0.002749
S1PR1---SPP1	0.002378
CD93---C1QA	0.002223
CCL4---CCR1	0.002062
ICAM1---ITGB2	0.001943
CCR1---CCL3	0.001839
ITGB1---CD14	0.001825
C1QB---LRP1	0.001793
CCL3---CCR1	0.001788
VIM---CD44	0.001618
LILRA3---HLA-C	0.001505
PLAUR---ITGB1	0.001385
LRP1---C1QB	0.001335
CCL4---CCR5	0.001280
IL1B---IL1RAP	0.001269
RPS19---C5AR1	0.001152
ITGB2---C3	0.001090
FPR1---ANXA1	0.000788
LRP1---PSAP	0.000762
IL10---IL10RB	0.000717
IL1B---IL1R2	0.000700
SDC4---CXCL10	0.000697
THBS1---CD36	0.000670
TNFRSF1A---GRN	0.000662
IL1B---ADRB2	0.000632
PLTP---ABCA1	0.000574
IL10---IL10RA	0.000564
MIF---TNFRSF14	0.000564
CCL3L3---CCR1	0.000556
CXCL12---CXCR4	0.000527
CD47---TYROBP	0.000509
ANXA1---FPR3	0.000484
C1QA---CR1	0.000464
CCL3---CCR5	0.000445
PSAP---LRP1	0.000422
GRN---TNFRSF1A	0.000389
ANXA1---FPR2	0.000385
ITGAX---C3	0.000385
C3---ITGB2	0.000369
ITGB1---PLAUR	0.000282
FPR3---ANXA1	0.000230
CCR1---CCL3L3	0.000205

NK---B-cell	q-value: 0.36898

Ligand---Receptor	contribution
KLRD1---HLA-B	0.228023
KLRD1---HLA-E	0.097721
HLA-C---LILRB1	0.078986
HLA-B---LILRB1	0.075710
KLRC1---HLA-E	0.071706
HLA-B---CANX	0.056238
KLRB1---CLEC2D	0.034034
CD44---VIM	0.027769
CD55---CD97	0.026734
PTPRC---CD22	0.025205
VIM---CD44	0.023067
IL7R---IL7	0.022246
CCL5---CXCR3	0.019424
HLA-A---LILRB1	0.018627
HLA-B---KLRD1	0.017998
BTLA---CD79A	0.013535
HLA-E---KLRD1	0.011767
CCR1---CCL5	0.008168
CD55---CR1	0.005510
TYROBP---CD47	0.004062
ICAM3---ITGAL	0.003601
ITGA4---ADAM28	0.003335
IL2RG---IL7	0.002915
MIF---TNFRSF14	0.002606
CD97---CD55	0.002563
ARF1---CHRM3	0.002483
GZMB---CHRM3	0.002189
CD40LG---CD40	0.001975
ITGB2---FCER2	0.001967

NK---CAF	q-value: 1.6658e-07

Ligand---Receptor	contribution
CCR7---CCL21	0.242970
CXCR4---CXCL12	0.096328
CD44---COL1A2	0.081423
CD44---COL1A1	0.080510
CD44---VIM	0.073902
CCR7---CCL19	0.068357
ITGB1---COL1A2	0.036644
CD44---MMP1	0.036165
ITGB1---COL1A1	0.035921
ITGB1---COL3A1	0.034803
ITGB1---PLA2G2A	0.027013
CD44---FN1	0.022685
KLRD1---HLA-B	0.009244
ITGB1---FN1	0.008090
HLA-B---CANX	0.007546
ITGB2---CTGF	0.003671
HLA-A---APLP2	0.003161
CD44---VCAN	0.003124
ITGB1---FBLN1	0.003037
ITGB1---LGALS3BP	0.002521
ITGB1---COL6A1	0.001935
CD44---HAS2	0.001810
VIM---CD44	0.001782
ITGA4---VCAM1	0.001303
ITGB1---VCAM1	0.001242
SELL---CFH	0.001141
CCL5---DARC	0.000733
CD55---CD97	0.000566
HLA-B---KLRD1	0.000550
ITGA4---PLA2G2A	0.000545
CD74---APP	0.000475
KLRD1---HLA-E	0.000470
HLA-E---KLRD1	0.000417
KLRC1---HLA-E	0.000319
CCR1---CCL5	0.000306
IL7R---IL7	0.000254
RPSA---LAMB2	0.000172
CD47---THBS1	0.000029

NK---Endothelial	q-value: 0.01335

Ligand---Receptor	contribution
CCL5---DARC	0.359212
KLRD1---HLA-B	0.112071
CD44---VIM	0.085328
KIR3DL1---HLA-B	0.064311
KIR3DL1---HLA-A	0.046133
LILRB1---HLA-B	0.031350
LILRB1---HLA-A	0.022488
KLRD1---HLA-E	0.022325
HLA-B---CANX	0.018454
KIR2DL1---HLA-C	0.017430
LILRB1---HLA-C	0.015269
PTPRC---MRC1	0.010262
KIR2DL3---HLA-C	0.008080
TYROBP---CD47	0.007975
KLRC1---HLA-E	0.007866
IL2RG---ICAM1	0.007279
CD44---LGALS9	0.006245
SELPLG---SELE	0.006240
RPSA---LAMB2	0.006226
MIF---TNFRSF14	0.006071
CD63---TIMP1	0.005745
KIR2DS4---HLA-C	0.004671
ITGB2---CTGF	0.004604
HLA-B---KLRD1	0.004396
CXCR3---CXCL9	0.003685
FASLG---TNFRSF6B	0.003587
HLA-A---APLP2	0.003230
TIMP1---CD63	0.002001
ITGAX---ICAM1	0.001768
FASLG---TNFRSF1A	0.001336
KLRK1---RAET1G	0.001112
CD74---APP	0.000961

NK---Macrophage	q-value: 4.2211e-12

Ligand---Receptor	contribution
CD44---SPP1	0.138777
ITGB1---SPP1	0.107994
KLRD1---HLA-B	0.058165
CD63---TIMP1	0.048344
HLA-B---LILRB2	0.040426
HLA-B---LILRB1	0.037931
ADRB2---IL1B	0.022419
HLA-C---LILRB2	0.021319
ITGB1---CD14	0.020012
HLA-C---LILRB1	0.019396
CD44---VIM	0.017746
HLA-A---LILRB2	0.016282
CXCR3---CXCL10	0.016116
CCL4---CCR1	0.016066
HLA-A---LILRB1	0.014854
HLA-B---CANX	0.014812
KIR3DL1---HLA-B	0.013588
HLA-A---APLP2	0.011213
KLRC1---HLA-E	0.011144
LILRB1---HLA-B	0.010805
CANX---HLA-B	0.010616
ITGB1---PLAUR	0.010578
CCL3---CCR1	0.010461
KLRD1---HLA-E	0.010363
KIR3DL1---HLA-A	0.009387
S1PR1---SPP1	0.008379
KIR2DL1---HLA-C	0.007251
HLA-C---LILRA3	0.006951
CD47---TYROBP	0.006333
CCL4---CCR5	0.003804
ITGB1---THBS1	0.003509
LILRB1---HLA-C	0.003476
CCL5---CCR1	0.003070
LILRB1---HLA-A	0.002935
CCL3---CCR5	0.002755
CD44---VCAN	0.002692
