ID	x	y	z	cluster
mouse1_lib1.final_cell_0068	-0.909017	6.950514	-5.736761	1.000000
mouse1_lib1.final_cell_0069	-1.922375	1.257218	3.597074	2.000000
mouse1_lib1.final_cell_0070	6.768138	-3.849884	0.562695	3.000000
mouse1_lib1.final_cell_0071	-15.124676	0.744167	-5.594323	1.000000
mouse1_lib1.final_cell_0072	-12.433307	3.433169	-0.797866	1.000000
mouse1_lib1.final_cell_0073	-2.392666	2.262009	-0.197064	2.000000
mouse1_lib1.final_cell_0074	1.091788	-7.617032	-11.723863	1.000000
mouse1_lib1.final_cell_0075	-3.603639	-0.205491	7.571583	1.000000
mouse1_lib1.final_cell_0076	3.723705	-4.170181	-2.256589	3.000000
mouse1_lib1.final_cell_0077	-11.002508	13.398685	7.171493	1.000000
mouse1_lib1.final_cell_0078	6.123474	0.812411	-1.564469	3.000000
mouse1_lib1.final_cell_0079	9.996668	-0.145729	3.015395	6.000000
mouse1_lib1.final_cell_0080	-2.779308	-6.600114	0.669913	1.000000
mouse1_lib1.final_cell_0081	7.519839	-1.524931	9.098977	3.000000
mouse1_lib1.final_cell_0082	6.226267	0.525612	-0.351408	3.000000
mouse1_lib1.final_cell_0083	2.504246	-7.121193	12.340466	1.000000
mouse1_lib1.final_cell_0084	9.879066	-4.440982	-9.087261	1.000000
mouse1_lib1.final_cell_0085	3.456729	1.082827	-1.161475	3.000000
mouse1_lib1.final_cell_0086	-5.332621	0.758103	-0.284192	1.000000
mouse1_lib1.final_cell_0087	3.208082	1.679409	-0.412688	3.000000
mouse1_lib1.final_cell_0088	4.336416	0.213272	-0.517600	3.000000
mouse1_lib1.final_cell_0089	-12.803052	-10.662824	-1.711080	1.000000
mouse1_lib1.final_cell_0090	5.272568	2.215079	2.755504	3.000000
mouse1_lib1.final_cell_0091	2.888230	-11.188245	-5.150212	1.000000
mouse1_lib1.final_cell_0092	0.183116	-0.612732	-0.519108	2.000000
mouse1_lib1.final_cell_0093	-2.317705	2.675343	6.809168	1.000000
mouse1_lib1.final_cell_0094	-17.857462	10.653271	0.304400	1.000000
mouse1_lib1.final_cell_0095	3.616406	-3.676068	-0.154845	3.000000
mouse1_lib1.final_cell_0096	-20.035264	9.440827	6.912810	1.000000
mouse1_lib1.final_cell_0097	-7.924793	6.052072	-4.382865	1.000000
mouse1_lib1.final_cell_0098	4.726492	-0.524948	1.957812	3.000000
mouse1_lib1.final_cell_0099	4.130089	-6.030152	-4.500306	3.000000
mouse1_lib1.final_cell_0100	0.439607	-2.084286	2.772722	2.000000
mouse1_lib1.final_cell_0101	-7.723465	-4.897207	-6.766277	1.000000
mouse1_lib1.final_cell_0102	-1.459286	0.206904	-3.208693	2.000000
mouse1_lib1.final_cell_0103	0.156628	11.925205	9.335443	1.000000
mouse1_lib1.final_cell_0104	3.616389	2.085248	-9.266842	3.000000
mouse1_lib1.final_cell_0105	2.907165	-1.844907	-1.481754	6.000000
mouse1_lib1.final_cell_0106	-10.921919	-0.971197	2.647153	1.000000
mouse1_lib1.final_cell_0107	12.495737	2.280436	-4.661178	6.000000
mouse1_lib1.final_cell_0108	-1.969485	18.630885	-10.270952	1.000000
mouse1_lib1.final_cell_0109	-5.723534	-3.464932	0.189903	1.000000
mouse1_lib1.final_cell_0110	0.110561	-2.691546	-4.103089	6.000000
mouse1_lib1.final_cell_0111	-2.119526	4.182757	-6.895593	1.000000
mouse1_lib1.final_cell_0112	2.473422	-6.003460	-1.450372	4.000000
mouse1_lib1.final_cell_0113	-13.492113	-0.994592	1.628679	1.000000
mouse1_lib1.final_cell_0114	-8.772262	-10.237082	-0.712275	1.000000
mouse1_lib1.final_cell_0115	2.192869	1.230554	0.245416	2.000000
mouse1_lib1.final_cell_0116	-0.737969	-6.418464	-0.156652	4.000000
mouse1_lib1.final_cell_0117	2.351483	-1.974722	-7.403806	1.000000
mouse1_lib1.final_cell_0118	-4.539369	2.186920	-9.269753	1.000000
mouse1_lib1.final_cell_0119	-5.635504	4.399096	-4.875451	1.000000
mouse1_lib1.final_cell_0120	1.110130	1.531717	-3.383014	2.000000
mouse1_lib1.final_cell_0121	-14.709614	-4.931701	8.187331	1.000000
mouse1_lib1.final_cell_0122	-6.421426	-0.339933	2.089965	1.000000
mouse1_lib1.final_cell_0123	-16.821277	6.091022	-6.077018	1.000000
mouse1_lib1.final_cell_0124	4.417735	-7.100836	1.394344	4.000000
mouse1_lib1.final_cell_0125	-1.908940	-11.234693	4.013694	1.000000
mouse1_lib1.final_cell_0126	9.821522	5.535851	-0.275186	6.000000
mouse1_lib1.final_cell_0127	3.296934	1.892584	-0.183503	3.000000
mouse1_lib1.final_cell_0128	-3.769059	-9.371516	-1.994454	1.000000
mouse1_lib1.final_cell_0129	-13.634404	3.936152	14.769624	1.000000
mouse1_lib1.final_cell_0130	5.976651	-0.351595	13.019444	1.000000
mouse1_lib1.final_cell_0131	-16.263578	-1.381342	11.912501	1.000000
mouse1_lib1.final_cell_0132	11.387115	-3.197742	8.300565	1.000000
mouse1_lib1.final_cell_0133	2.323862	3.500385	4.434720	3.000000
mouse1_lib1.final_cell_0134	-13.321311	0.047264	-13.162067	1.000000
mouse1_lib1.final_cell_0135	2.552154	4.810101	2.867140	3.000000
mouse1_lib1.final_cell_0136	7.184961	-10.315909	-2.155978	1.000000
mouse1_lib1.final_cell_0137	-12.639241	1.186706	3.021764	1.000000
mouse1_lib1.final_cell_0138	-1.332345	12.776605	-7.613513	1.000000
mouse1_lib1.final_cell_0139	4.002413	-5.670432	-0.449288	1.000000
mouse1_lib1.final_cell_0140	4.260398	-0.003043	2.301335	3.000000
mouse1_lib1.final_cell_0141	-4.739206	1.800857	-5.538086	1.000000
mouse1_lib1.final_cell_0142	-4.221708	8.802982	4.259167	1.000000
mouse1_lib1.final_cell_0143	1.827734	7.792004	10.748245	1.000000
mouse1_lib1.final_cell_0144	-12.972190	4.286511	2.187167	1.000000
mouse1_lib1.final_cell_0145	-2.576772	-1.921553	3.491058	2.000000
mouse1_lib1.final_cell_0146	1.906240	-11.665656	-0.850177	1.000000
mouse1_lib1.final_cell_0147	-5.566377	-8.051617	-6.067110	1.000000
mouse1_lib1.final_cell_0148	-5.523610	-7.331886	4.703336	1.000000
mouse1_lib1.final_cell_0149	9.673605	-12.595406	1.190544	1.000000
mouse1_lib1.final_cell_0150	-2.095083	-19.639722	-2.683618	1.000000
mouse1_lib1.final_cell_0151	5.513151	-0.417216	-3.863264	3.000000
mouse1_lib1.final_cell_0152	-20.406879	-12.054391	1.737415	1.000000
mouse1_lib1.final_cell_0153	3.670336	1.309221	0.383713	3.000000
mouse1_lib1.final_cell_0154	5.030641	5.363304	-17.603210	1.000000
mouse1_lib1.final_cell_0155	4.244751	3.997676	-2.682645	3.000000
mouse1_lib1.final_cell_0156	7.505278	-16.676631	3.591726	1.000000
mouse1_lib1.final_cell_0157	2.294369	0.565983	2.222027	2.000000
mouse1_lib1.final_cell_0158	14.533889	2.442975	8.091530	1.000000
mouse1_lib1.final_cell_0159	2.215290	1.214327	-0.975922	3.000000
mouse1_lib1.final_cell_0160	1.651760	-6.337883	-0.414867	4.000000
mouse1_lib1.final_cell_0161	3.778703	-9.682445	-2.160692	1.000000
mouse1_lib1.final_cell_0162	-0.676041	-2.120011	-1.269011	4.000000
mouse1_lib1.final_cell_0163	-6.797433	-1.022810	-0.154064	1.000000
mouse1_lib1.final_cell_0164	-9.191597	-19.859004	8.186891	1.000000
mouse1_lib1.final_cell_0165	3.806314	1.487523	-0.504650	3.000000
mouse1_lib1.final_cell_0166	-11.439946	2.376559	-7.124528	1.000000
mouse1_lib1.final_cell_0167	13.707131	1.303722	-15.345825	1.000000
mouse1_lib1.final_cell_0168	-4.802405	-0.953762	-3.561910	1.000000
mouse1_lib1.final_cell_0169	9.213311	0.336374	-10.651260	1.000000
mouse1_lib1.final_cell_0170	-4.884652	7.283933	12.660995	1.000000
mouse1_lib1.final_cell_0171	-11.292845	-2.976507	9.603468	1.000000
mouse1_lib1.final_cell_0172	-9.960752	0.147123	0.735029	1.000000
mouse1_lib1.final_cell_0173	-17.537626	-2.178492	1.359484	1.000000
mouse1_lib1.final_cell_0174	-13.312636	15.042509	2.573744	1.000000
mouse1_lib1.final_cell_0175	2.582422	3.031197	-0.054008	3.000000
mouse1_lib1.final_cell_0176	4.761300	1.873914	-0.686509	3.000000
mouse1_lib1.final_cell_0177	-3.360192	-3.937603	8.471917	1.000000
mouse1_lib1.final_cell_0178	9.238071	2.734764	1.272961	3.000000
mouse1_lib1.final_cell_0179	5.432156	-14.575779	6.811607	1.000000
mouse1_lib1.final_cell_0180	-6.939169	-2.040260	6.358272	1.000000
mouse1_lib1.final_cell_0181	-1.676495	-0.807793	4.499129	1.000000
mouse1_lib1.final_cell_0182	0.150915	0.632001	0.172775	2.000000
mouse1_lib1.final_cell_0183	9.854302	-0.565404	5.924249	3.000000
mouse1_lib1.final_cell_0184	4.471517	1.048850	-1.023056	3.000000
mouse1_lib1.final_cell_0185	8.608423	0.683605	0.960058	3.000000
mouse1_lib1.final_cell_0186	3.756687	5.406839	6.660773	1.000000
mouse1_lib1.final_cell_0187	-3.110770	1.653958	2.011609	2.000000
mouse1_lib1.final_cell_0188	3.850239	0.486677	5.118843	2.000000
mouse1_lib1.final_cell_0189	7.809560	11.492065	-2.310909	1.000000
mouse1_lib1.final_cell_0190	-10.760913	11.269697	0.002059	1.000000
mouse1_lib1.final_cell_0191	-10.990608	0.788967	-0.643539	1.000000
mouse1_lib1.final_cell_0192	3.607018	1.190248	-0.899612	3.000000
mouse1_lib1.final_cell_0193	2.061202	1.615119	4.933764	3.000000
mouse1_lib1.final_cell_0194	3.888236	0.699267	1.332716	3.000000
mouse1_lib1.final_cell_0195	0.000302	0.327747	-8.581077	6.000000
mouse1_lib1.final_cell_0196	-3.692525	-14.563481	10.335682	1.000000
mouse1_lib1.final_cell_0197	-2.551751	-14.341314	-9.478711	1.000000
mouse1_lib1.final_cell_0198	-4.095024	10.047891	9.514196	1.000000
mouse1_lib1.final_cell_0199	-0.745556	-11.474934	-5.967746	1.000000
mouse1_lib1.final_cell_0200	3.309399	2.085401	0.868136	3.000000
mouse1_lib1.final_cell_0201	1.655423	-3.107532	-0.216043	3.000000
mouse1_lib1.final_cell_0202	1.271122	-3.929094	0.856465	3.000000
mouse1_lib1.final_cell_0203	2.735212	-1.487514	2.009814	2.000000
mouse1_lib1.final_cell_0204	0.212744	2.718911	1.667668	2.000000
mouse1_lib1.final_cell_0205	2.639788	9.990525	3.483146	1.000000
mouse1_lib1.final_cell_0206	-1.451919	11.441720	4.839264	1.000000
mouse1_lib1.final_cell_0207	11.225647	-0.628557	0.788156	6.000000
mouse1_lib1.final_cell_0208	1.405232	-0.090767	1.393842	2.000000
mouse1_lib1.final_cell_0209	-7.515932	3.796598	12.736685	1.000000
mouse1_lib1.final_cell_0210	8.785313	1.695669	-2.998408	3.000000
mouse1_lib1.final_cell_0211	-4.164304	-6.031768	5.559631	1.000000
mouse1_lib1.final_cell_0212	10.969402	17.141448	4.301373	1.000000
mouse1_lib1.final_cell_0213	-3.232700	-8.164966	7.535851	1.000000
mouse1_lib1.final_cell_0214	-12.377352	3.861614	7.222766	1.000000
mouse1_lib1.final_cell_0215	3.481511	1.762354	-0.275748	3.000000
mouse1_lib1.final_cell_0216	10.062134	-15.480558	9.595246	1.000000
mouse1_lib1.final_cell_0217	-7.518398	9.206571	-13.710611	1.000000
mouse1_lib1.final_cell_0218	-2.966542	15.943044	5.034061	1.000000
mouse1_lib1.final_cell_0219	-13.277686	-6.506855	-10.527421	1.000000
mouse1_lib1.final_cell_0220	9.717873	-10.380499	12.234944	1.000000
mouse1_lib1.final_cell_0221	2.071335	0.619056	0.813275	3.000000
mouse1_lib1.final_cell_0222	3.777315	1.343054	0.070062	6.000000
mouse1_lib1.final_cell_0223	-5.832638	-6.902188	9.587786	1.000000
mouse1_lib1.final_cell_0224	-8.451419	4.989189	17.909072	1.000000
mouse1_lib1.final_cell_0225	13.620780	6.746678	-4.459098	1.000000
mouse1_lib1.final_cell_0226	9.587006	-17.857869	-1.335516	1.000000
mouse1_lib1.final_cell_0227	9.915096	-7.407269	-4.893418	3.000000
mouse1_lib1.final_cell_0228	0.085230	-4.767160	-21.207387	1.000000
mouse1_lib1.final_cell_0229	-9.416513	-3.063569	2.383652	1.000000
mouse1_lib1.final_cell_0230	-8.234456	0.057362	0.772511	1.000000
mouse1_lib1.final_cell_0231	2.185042	-16.291053	-7.201133	1.000000
mouse1_lib1.final_cell_0232	6.883487	6.247687	-0.219515	3.000000
mouse1_lib1.final_cell_0233	1.935738	1.274485	-0.218842	2.000000
mouse1_lib1.final_cell_0234	6.244820	3.729526	-0.818994	6.000000
mouse1_lib1.final_cell_0235	2.374579	-0.613017	1.963368	2.000000
mouse1_lib1.final_cell_0236	5.992637	3.695844	0.892373	3.000000
mouse1_lib1.final_cell_0237	10.543562	-7.486323	2.115862	6.000000
mouse1_lib1.final_cell_0238	2.693641	2.065576	-1.846086	3.000000
mouse1_lib1.final_cell_0239	5.058740	-0.976802	0.691814	3.000000
mouse1_lib1.final_cell_0240	1.838825	11.387516	-15.665960	1.000000
mouse1_lib1.final_cell_0241	-14.897008	3.413021	-10.346309	1.000000
mouse1_lib1.final_cell_0242	-3.081749	-8.042464	5.618481	1.000000
mouse1_lib1.final_cell_0243	1.799271	-12.043718	-16.395239	1.000000
mouse1_lib1.final_cell_0244	4.408326	1.274366	0.206701	3.000000
mouse1_lib1.final_cell_0245	10.644924	3.374374	7.904061	1.000000
mouse1_lib1.final_cell_0246	1.591314	-8.285640	-2.811382	1.000000
mouse1_lib1.final_cell_0247	-17.038849	-2.707113	-11.606253	1.000000
mouse1_lib1.final_cell_0248	-4.982733	-0.268294	20.749921	1.000000
mouse1_lib1.final_cell_0249	5.812381	4.356672	2.409063	3.000000
mouse1_lib1.final_cell_0250	4.082967	-1.659340	-0.837639	3.000000
mouse1_lib1.final_cell_0251	3.977430	7.840802	4.967325	2.000000
mouse1_lib1.final_cell_0252	-3.815759	-12.802738	5.771607	1.000000
mouse1_lib1.final_cell_0253	0.497745	-4.521899	2.652362	6.000000
mouse1_lib1.final_cell_0254	7.759562	-5.314862	-3.265927	1.000000
mouse1_lib1.final_cell_0255	0.949067	-0.964084	3.266896	3.000000
mouse1_lib1.final_cell_0256	5.915545	0.769623	4.275538	3.000000
mouse1_lib1.final_cell_0257	-8.713991	2.759487	7.643288	1.000000
mouse1_lib1.final_cell_0258	5.962253	10.506187	0.577677	3.000000
mouse1_lib1.final_cell_0259	1.866280	-8.019036	-6.071911	1.000000
mouse1_lib1.final_cell_0260	6.082314	-1.272853	2.899125	3.000000
mouse1_lib1.final_cell_0261	-0.254201	0.100670	-1.393314	3.000000
mouse1_lib1.final_cell_0262	2.234789	-2.389391	-0.365538	3.000000
mouse1_lib1.final_cell_0263	1.394459	-4.702904	-1.175590	4.000000
mouse1_lib1.final_cell_0264	12.807028	10.847666	3.566941	3.000000
mouse1_lib1.final_cell_0265	-9.452948	0.827711	-0.892817	4.000000
mouse1_lib1.final_cell_0266	1.603700	1.962490	0.253246	3.000000
mouse1_lib1.final_cell_0267	19.363629	11.236351	-3.167926	3.000000
mouse1_lib1.final_cell_0268	-3.124672	16.839087	-4.161705	1.000000
mouse1_lib1.final_cell_0269	0.673372	-3.147457	-0.847475	3.000000
mouse1_lib1.final_cell_0270	-7.362032	7.552151	5.021158	1.000000
mouse1_lib1.final_cell_0271	6.547909	-4.353656	-5.835238	3.000000
mouse1_lib1.final_cell_0272	3.556249	5.047580	0.356865	3.000000
mouse1_lib1.final_cell_0273	5.063250	6.863721	0.613626	3.000000
mouse1_lib1.final_cell_0274	3.797152	1.976916	1.577124	3.000000
mouse1_lib1.final_cell_0275	0.550521	0.240228	3.056519	2.000000
mouse1_lib1.final_cell_0276	-1.037330	-0.159642	0.857471	2.000000
mouse1_lib1.final_cell_0277	3.317478	0.861879	-0.198190	3.000000
mouse1_lib2.final_cell_0001	-6.812929	4.246047	4.431630	1.000000
mouse1_lib2.final_cell_0002	5.458751	2.322618	-1.077699	5.000000
mouse1_lib2.final_cell_0003	-5.018434	5.710154	-8.311943	1.000000
mouse1_lib2.final_cell_0004	6.456978	-4.068015	-10.746926	1.000000
mouse1_lib2.final_cell_0005	-10.230989	1.018289	3.853008	1.000000
mouse1_lib2.final_cell_0006	-7.738722	6.666501	8.832007	1.000000
mouse1_lib2.final_cell_0007	9.416391	3.763173	-5.735015	3.000000
mouse1_lib2.final_cell_0008	-5.480331	2.826006	-2.656288	1.000000
mouse1_lib2.final_cell_0009	5.496142	-6.587617	-8.917912	1.000000
mouse1_lib2.final_cell_0010	4.175420	2.460926	-3.191607	5.000000
mouse1_lib2.final_cell_0011	10.118634	8.597037	-5.280467	3.000000
mouse1_lib2.final_cell_0012	2.959866	2.369570	-4.445544	3.000000
mouse1_lib2.final_cell_0013	3.789678	5.680848	-2.502569	3.000000
mouse1_lib2.final_cell_0014	8.127747	-2.093026	-8.393059	6.000000
mouse1_lib2.final_cell_0015	-15.257305	-8.542026	4.536959	1.000000
mouse1_lib2.final_cell_0016	1.574316	0.614251	-4.701539	3.000000
mouse1_lib2.final_cell_0017	2.744618	6.676018	1.789371	3.000000
mouse1_lib2.final_cell_0018	0.869245	3.765410	2.814740	2.000000
mouse1_lib2.final_cell_0019	14.788171	0.277081	15.954251	1.000000
mouse1_lib2.final_cell_0020	7.322307	2.240934	2.310441	3.000000
mouse1_lib2.final_cell_0021	4.772567	6.618125	-5.376455	3.000000
mouse1_lib2.final_cell_0022	11.735621	4.332542	1.859167	3.000000
mouse1_lib2.final_cell_0023	3.513577	2.920482	0.119118	3.000000
mouse1_lib2.final_cell_0024	3.879477	-1.167978	-3.529707	3.000000
mouse1_lib2.final_cell_0025	-6.651940	-3.135324	10.115333	1.000000
mouse1_lib2.final_cell_0026	3.276529	2.302033	-0.010263	3.000000
mouse1_lib2.final_cell_0027	15.882446	5.838050	0.452950	3.000000
mouse1_lib2.final_cell_0028	3.524663	4.576662	-0.898287	3.000000
mouse1_lib2.final_cell_0029	3.152608	6.507337	-0.661353	3.000000
mouse1_lib2.final_cell_0030	3.813037	4.112209	-6.192374	3.000000
mouse1_lib2.final_cell_0031	2.676362	0.643692	0.271863	2.000000
mouse1_lib2.final_cell_0032	-11.311968	-1.217058	0.033013	1.000000
mouse1_lib2.final_cell_0033	-10.165173	2.043235	-1.650600	1.000000
mouse1_lib2.final_cell_0034	-6.402035	0.686674	7.208503	1.000000
mouse1_lib2.final_cell_0035	6.469999	4.006920	-5.656879	2.000000
mouse1_lib2.final_cell_0036	3.268195	8.642107	0.876157	3.000000
mouse1_lib2.final_cell_0037	-15.081222	-0.108047	7.310450	1.000000
mouse1_lib2.final_cell_0038	-10.008075	-0.404510	-1.549584	1.000000
mouse1_lib2.final_cell_0039	-12.548890	1.444661	-2.620298	1.000000
mouse1_lib2.final_cell_0040	2.752529	4.093257	-2.424844	3.000000
mouse1_lib2.final_cell_0041	-8.409375	1.716072	-0.487751	1.000000
mouse1_lib2.final_cell_0042	-0.598936	8.120216	-2.991944	1.000000
mouse1_lib2.final_cell_0043	4.639592	1.730912	0.042037	3.000000
mouse1_lib2.final_cell_0044	-20.085303	1.382477	-6.926854	1.000000
mouse1_lib2.final_cell_0045	5.125767	5.728468	-1.116487	3.000000
mouse1_lib2.final_cell_0046	0.488467	-1.226287	-5.753550	2.000000
mouse1_lib2.final_cell_0047	3.795118	2.002819	0.069825	3.000000
mouse1_lib2.final_cell_0048	2.156522	0.644110	0.275544	2.000000
mouse1_lib2.final_cell_0049	-0.777111	-3.000898	5.998557	1.000000
mouse1_lib2.final_cell_0050	2.276748	-1.702903	-4.139746	2.000000
mouse1_lib2.final_cell_0051	2.303806	3.408792	2.031776	3.000000
mouse1_lib2.final_cell_0052	3.307151	1.423806	-0.166140	3.000000
mouse1_lib2.final_cell_0053	-7.840320	-12.593929	7.322829	1.000000
mouse1_lib2.final_cell_0054	4.244143	3.348813	2.367286	3.000000
mouse1_lib2.final_cell_0055	-0.219621	0.048824	0.302896	2.000000
mouse1_lib2.final_cell_0056	0.200817	1.110831	4.805267	2.000000
mouse1_lib2.final_cell_0057	-5.063271	-1.033774	-1.457420	4.000000
mouse1_lib2.final_cell_0058	-16.009642	7.360894	10.861218	1.000000
mouse1_lib2.final_cell_0059	3.240478	2.202806	-0.339496	3.000000
mouse1_lib2.final_cell_0060	4.072893	1.055379	3.365622	1.000000
mouse1_lib2.final_cell_0061	-14.635627	-4.519186	3.661927	1.000000
mouse1_lib2.final_cell_0062	-7.609182	2.817342	-7.479697	1.000000
mouse1_lib2.final_cell_0063	8.016174	-2.217864	3.761811	1.000000
mouse1_lib2.final_cell_0064	-3.525703	1.930829	-2.772616	1.000000
mouse1_lib2.final_cell_0065	-16.314303	16.372442	-2.417770	1.000000
mouse1_lib2.final_cell_0066	6.422622	2.361610	-1.906602	3.000000
mouse1_lib2.final_cell_0067	-3.541284	-11.981026	-4.152949	1.000000
mouse1_lib2.final_cell_0068	3.984909	2.768909	-0.998109	3.000000
mouse1_lib2.final_cell_0069	1.289700	0.975238	1.623585	2.000000
mouse1_lib2.final_cell_0070	-8.223574	3.371571	-1.605161	1.000000
mouse1_lib2.final_cell_0071	3.075527	-0.082404	0.801642	3.000000
mouse1_lib2.final_cell_0072	3.359178	1.450273	-0.177174	3.000000
mouse1_lib2.final_cell_0073	-13.534834	-16.100941	0.522188	1.000000
mouse1_lib2.final_cell_0074	-5.687215	6.348733	-1.791368	1.000000
mouse1_lib2.final_cell_0075	-5.537574	-10.062607	3.064771	1.000000
mouse1_lib2.final_cell_0076	-9.070035	-1.444382	0.204530	1.000000
mouse1_lib2.final_cell_0077	3.803050	0.126596	-2.289801	3.000000
mouse1_lib2.final_cell_0078	1.876250	-1.668344	1.191175	2.000000
mouse1_lib2.final_cell_0079	3.280381	-0.116802	-0.318255	4.000000
mouse1_lib2.final_cell_0080	6.302646	18.124479	-3.966768	1.000000
mouse1_lib2.final_cell_0081	4.029330	1.759456	-0.715650	3.000000
mouse1_lib2.final_cell_0082	-6.161640	-2.823191	-13.481309	1.000000
mouse1_lib2.final_cell_0083	4.537535	1.630138	-0.588326	3.000000
mouse1_lib2.final_cell_0084	-0.772883	1.985722	-5.511849	1.000000
mouse1_lib2.final_cell_0085	12.568205	-9.098347	-10.823524	1.000000
mouse1_lib2.final_cell_0086	-4.015989	12.324099	-12.590777	1.000000
mouse1_lib2.final_cell_0087	10.912232	4.717453	-9.296102	1.000000
